inst_id,institution_name,abbreviation,parent_ministry,establishment_year,legal_basis,mandate_summary,laws_enforced,jurisdiction_scope,url,industries_regulated
INST01,"Kenya Wildlife Service","KWS","Ministry of Tourism and Wildlife",1989,"Wildlife Conservation and Management Act 2013 (No.47 of 2013)","Conserve and manage wildlife; enforce wildlife laws; manage national parks and protected areas; serve as Kenya's CITES Management Authority; conduct conservation education/research; issue all wildlife-related permits","WCMA 2013; L.N.241/2017 (CITES Treaties); L.N.242/2017 (Endangered Species Regulations)","Nationwide — all national parks, national reserves, wildlife on public/community/private land; territorial waters for marine wildlife",https://www.kws.go.ke,"Wildlife tourism; wildlife ranching; trophy hunting (moratorium in place); live wildlife trade; bioprospecting; film production in protected areas"
INST02,"Kenya Forest Service","KFS","Ministry of Environment, Climate Change and Forestry",2007,"Forest Conservation and Management Act 2016 (No.34 of 2016)","Manage all public forests; regulate commercial exploitation of forest resources; conserve forest biodiversity; enforce forest laws; issue permits for forest product trade/export","FCMA 2016; Forest Conservation Regulations 2017","Nationwide — all public forests (state and local authority); oversight role over community forests and private forests",https://www.kenyaforestservice.org,"Timber industry; charcoal production; forest-based tourism; non-timber forest products; carbon markets; beekeeping in forests"
INST03,"National Environment Management Authority","NEMA","Ministry of Environment, Climate Change and Forestry",2002,"Environmental Management and Co-ordination Act 1999 (No.8 of 1999)","Exercise general supervision and co-ordination over environmental management; set environmental standards; review Environmental Impact Assessments; regulate access to genetic resources; administer biodiversity regulations","EMCA 1999; ABS Regulations 2006 (L.N.160/2006); ABS Regulations 2025 (L.N.19/2025); Biodiversity Regulations 2023","Nationwide — all sectors and activities with environmental impact; national mandate over genetic resources",https://www.nema.go.ke,"All sectors — manufacturing; agriculture; mining; infrastructure; research institutions collecting biological/genetic resources"
INST04,"Kenya Plant Health Inspectorate Service","KEPHIS","Ministry of Agriculture, Livestock, Fisheries and Co-operatives",1997,"Kenya Plant Health Inspectorate Service Act No.54 of 2012 (reorganised from predecessor)","Safeguard the quality and health of plants and plant products; prevent introduction and spread of plant pests and diseases; regulate importation and exportation of plants and seeds; administer Seeds and Plant Varieties Act and Plant Protection Act","Seeds and Plant Varieties Act Cap.326; Plant Protection Act Cap.324; KEPHIS Act 2012","Nationwide — all ports of entry; all agricultural and horticultural activities; plant material imports and exports",https://www.kephis.go.ke,"Agriculture; horticulture; floriculture; seed industry; plant nurseries; research institutions working with plant material"
INST05,"National Biosafety Authority","NBA","Ministry of Agriculture, Livestock, Fisheries and Co-operatives",2009,"Biosafety Act 2009 (No.2 of 2009)","Exercise general supervision and control over transfer, handling and use of GMOs; issue approvals for contained use, environmental release, import, export and transit of GMOs; advise government on biosafety matters","Biosafety Act 2009; Biosafety (Contained Use) Regulations 2011; Biosafety (Environmental Release) Regulations 2011; Biosafety (Import, Export and Transit) Regulations 2011","Nationwide — all institutions and persons handling GMOs",https://www.biosafetykenya.go.ke,"Agricultural biotechnology; food and beverage industry; pharmaceutical industry; research institutions working with GMOs"
INST06,"Kenya Fisheries Service","KeFS","Ministry of Agriculture, Livestock, Fisheries and Co-operatives",2016 (reorganised),"Fisheries Management and Development Act 2016 (No.35 of 2016)","Regulate and manage fisheries resources; declare endangered fish species; manage Marine Protected Areas; regulate import/export of live fish; manage fishing gear standards","FMDA 2016; Marine Fisheries Regulations 2024 (L.N.125/2024); Aquaculture Regulations 2024 (L.N.126/2024)","Nationwide — inland water bodies (lakes, rivers, dams); territorial waters and Exclusive Economic Zone; EAC shared fisheries",https://www.agriculture.go.ke/fisheries,"Fishing industry (artisanal and commercial); aquaculture; fish processing and export; live fish import/export"
INST07,"Kenya Maritime Authority","KMA","Ministry of Roads and Transport",2006,"Kenya Maritime Authority Act 2006 (No.5 of 2006)","Regulate and oversee safety, security and environmental standards in the maritime sector; prevent marine pollution; enforce shipping and environmental compliance in Kenyan waters","KMA Act 2006; MARPOL (implementation); various maritime safety regulations","Kenya's territorial waters and maritime ports; Exclusive Economic Zone; inland waterways (jointly with county governments)",https://www.maritimeauthority.go.ke,"Shipping industry; maritime transport; port operations; offshore oil and gas exploration; marine tourism"
INST08,"Kenya Revenue Authority — Customs","KRA-Customs","The National Treasury and Economic Planning",1995,"Kenya Revenue Authority Act 1995","Enforce customs and tax laws at all ports, airports and border crossings; verify CITES permits for wildlife trade; interdict illegal wildlife trafficking; enforce import/export prohibitions","East African Community Customs Management Act; Customs and Excise Act (Cap.472); CITES (enforcement role)","All official ports of entry — Mombasa, Nairobi (JKIA), Kisumu, Moyale, Namanga, Busia, Malaba, Lungalunga, Isebania and 60+ other border points",https://www.kra.go.ke,"All import/export trade including wildlife, plant material, seeds, genetic resources, live animals, trophies"
INST09,"Kenya Forestry Research Institute","KEFRI","Ministry of Environment, Climate Change and Forestry",1986,"Forest Conservation and Management Act 2016 (advisory role); Science, Technology and Innovation Act 2013","Conduct and coordinate forestry research; advise KFS and Cabinet Secretary on protected tree species; maintain forest germplasm bank; develop guidelines for sustainable forest management","Advisory role under FCMA 2016 s.40 (protected tree species gazettement)","Nationwide — forestry research stations and field sites; advisory role over all forests",https://www.kefri.org,"Forestry research; timber industry (advisory); conservation NGOs; academic institutions"
INST10,"Kenya Wildlife Conservancies Association","KWCA","Non-governmental (private sector body)",2010,"Not statutory — registered under Societies Act","Represent and support private and community wildlife conservancies; advocate for wildlife-friendly policies; coordinate with KWS on wildlife management outside protected areas","Operates under WCMA 2013 framework for conservancies (ss.33–43)","Nationwide — private ranches, community conservancies, and conservancy land outside national parks",https://kwcakenya.com,"Private ranching and conservancy industry; tourism industry; community land management"
INST11,"Kenya Marine and Fisheries Research Institute","KMFRI","Ministry of Agriculture, Livestock, Fisheries and Co-operatives",1979,"Science, Technology and Innovation Act 2013","Conduct research on marine and freshwater fisheries resources; advise KeFS on endangered fish species; monitor status of marine protected areas; provide scientific basis for fisheries management decisions","Advisory role under FMDA 2016","Nationwide — marine research stations (Mombasa, Shimoni, Msambweni); Lake Victoria (Kisumu), Lake Turkana, Lake Naivasha",https://www.kmfri.go.ke,"Fishing industry; aquaculture; marine conservation; academic research"
INST12,"National Museums of Kenya","NMK","State Department for Heritage and Culture",1910 (reorganised 1929, 1966)","National Museums and Heritage Act 2006 (No.6 of 2006)","Collect, preserve and exhibit Kenya's natural and cultural heritage; curate Type specimens of Kenya endemic species; protect paleontological sites; issue permits for scientific collection of natural heritage items","NMHA 2006; various heritage regulations","Nationwide — museums, heritage sites, paleontological sites, natural history collections",https://www.museums.or.ke,"Museum and heritage tourism; academic and scientific research; paleontology and geology industries"
INST13,"National Environment Trust Fund","NETFUND","Ministry of Environment, Climate Change and Forestry",2000,"EMCA 1999 (Part XV); NETFUND Act 2012","Finance environmental conservation programmes; grant funding for biodiversity conservation; support NEMA and KFS programmes","EMCA 1999; NETFUND Act 2012","Nationwide — funding agency","https://www.netfund.go.ke","Conservation NGOs; research institutions; community groups involved in environmental management"
INST14,"Directorate of Veterinary Services","DVS","Ministry of Agriculture, Livestock, Fisheries and Co-operatives",1904 (colonial origin),"Veterinary Surgeons and Veterinary Para-professionals Act 2011; Animals (Control of Experiments) Act","Regulate import/export of animals and animal products; enforce animal health standards; participate in biosafety authority; control diseases including zoonoses affecting wildlife","Animals Act Cap.360; Animal Diseases Act Cap.364; Biosafety Act 2009 (co-enforcement)","Nationwide — livestock and domestic animal sector; border enforcement of livestock imports/exports; advises on wildlife disease",https://www.kilimo.go.ke/veterinary-services,"Livestock industry; veterinary industry; pet trade; zoo and aquarium industry; animal feed industry"
