law_id,law_name,short_name,act_number,year_enacted,year_last_amended,key_sections,species_categories,restriction_type,enforcement_institution,url_kenya_law,notes
LAW01,"Wildlife Conservation and Management Act","WCMA",No. 47 of 2013,2013,2025,"s.47 (endangered/threatened species listing); s.48 (restricted activities requiring permits); s.49 (recovery plans); s.50 (bioprospecting); s.77–86 (licensing); s.92 (offences involving endangered species); s.95A (poisoning); Part XII ss.97–103 (international treaties/CITES)","Mammals; birds; reptiles; amphibians; fish; invertebrates; all wildlife species listed in Sixth Schedule and CITES Appendices","Fully protected (no take without permit); prohibited commercial trade; restricted activities require KWS permit; bioprospecting permit required","Kenya Wildlife Service (KWS)",https://new.kenyalaw.org/akn/ke/act/2013/47/eng@2025-11-04,"Primary legislation. Sixth Schedule lists 245 nationally threatened species. Highest penalties in Africa: up to life imprisonment for most serious offences. 2025 Amendment Act (No.24 of 2025) expanded marine wildlife claims committee. New Bill to repeal and replace under development as of 2025."
LAW02,"Environmental Management and Co-ordination Act","EMCA",No. 8 of 1999,1999,2022,"Part V (biodiversity conservation); s.42 (biological diversity); s.43 (in-situ conservation); s.44 (ex-situ conservation); s.45 (genetic resources access); s.49 (forests); s.55 (wetlands — prohibits alien/indigenous species introduction without authorisation)","All biological/genetic resources; invasive alien species; threatened/endangered species","Access permit required for genetic resource collection/export; prohibition on introducing species into water bodies without authorisation; NEMA may ban access to threatened species","National Environment Management Authority (NEMA)",https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31,"Subsidiary: Access & Benefit Sharing Regulations 2006 (L.N.160/2006); ABS Regulations 2025 (L.N.19/2025); Biodiversity Regulations 2023. Aligns with Convention on Biological Diversity and Nagoya Protocol."
LAW03,"Fisheries Management and Development Act","FMDA",No. 35 of 2016,2016,2022,"s.42 (prohibited gear/methods); s.45 (declaration of endangered fish species); s.46 (marine mammals — directed fishing prohibited; incidental catch must be immediately released); s.47 (Marine Protected Areas); s.48 (Fisheries Impact Assessments); s.63 (import live fish — permit required); s.64 (export live fish — permit required)","Marine mammals; sea turtles; fish species declared endangered by Director-General; marine protected area species","Prohibition on directed fishing for marine mammals; mandatory release of incidentally caught marine mammals; Director-General may declare fish species endangered; import/export live fish requires permit","Kenya Fisheries Service (KeFS); Kenya Maritime Authority (KMA)",https://new.kenyalaw.org/akn/ke/act/2016/35/eng@2022-12-31,"All Kenyan maritime zones declared a marine mammal and turtle sanctuary (carried forward from predecessor Fisheries Act Cap.378). 'Fish' defined broadly to include any marine/aquatic animal or plant, shells, corals, reptiles, marine mammals."
LAW04,"Forest Conservation and Management Act","FCMA",No. 34 of 2016,2016,2022,"s.40 (protected tree species — Cabinet Secretary may gazette any tree species as protected on KEFRI advice); s.46 (quarrying prohibited in areas with rare/endangered species or sacred trees); s.60 (import/export forest products — permit required); s.64 (prohibited activities in public forests without licence)","Tree species gazetted as protected; forest-dependent flora and fauna","Gazette-listed trees cannot be felled, cut, damaged, removed, traded or exported; all forest produce activities require licence; import/export permits required","Kenya Forest Service (KFS)",https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31,"No fixed schedule of protected trees — protection through Cabinet Secretary Gazette orders on KEFRI advice. Repealed Forests Act No.3 of 2005 and Timber Act Cap.386."
LAW05,"Seeds and Plant Varieties Act","SPVA",Cap. 326,1972,2016,"s.3 (seed imports — licence required); s.8 (protected crop zones against injurious cross-pollination); s.14 (Cabinet Secretary may prohibit/regulate seed exports); s.19–26 (Plant Breeders Rights); s.28 (Plant Genetic Resources Centre)","All seed species; plant varieties including indigenous plant genetic resources","All seed imports require KEPHIS licence; Cabinet Secretary may prohibit seed exports; exotic varieties require risk assessment before introduction","Kenya Plant Health Inspectorate Service (KEPHIS); Kenya Standing Technical Committee on Imports and Exports",http://kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.+326,"Companion legislation: Plant Protection Act Cap.324 — empowers Cabinet Secretary to prohibit/restrict import of any plants; intentional introduction of alien plant species requires Standing Technical Committee approval."
LAW06,"Biosafety Act","BSA",No. 2 of 2009,2009,2023,"s.4 (NBA establishment); s.5 (NBA mandate over GMO transfer/handling/use); s.18–25 (contained use permits); s.26–32 (environmental release permits); s.33–40 (import/export/transit of GMOs — NBA prior approval); s.52 (offences: up to KES 20M fine or 10 years imprisonment)","Genetically Modified Organisms (GMOs) of all types","All GMO activities (import/export/transit/contained use/environmental release/commercialisation) require prior NBA approval; Government cabinet ban on GM food imports (November 2012) still in force subject to NBA processes","National Biosafety Authority (NBA); KEPHIS; NEMA; KEBS; Directorate of Veterinary Services",https://new.kenyalaw.org/akn/ke/act/2009/2/eng@2023-12-11,"No fixed prohibited species list — permit-based system. Unauthorised GMO handling is criminal offence."
LAW07,"CITES Implementation in Kenya","CITES",International Convention,1963,2023 (Appendices),"WCMA Part XII ss.97–103 (treaties implementation); L.N.241/2017 (Implementation of Treaties Regulations); L.N.242/2017 (Protection of Endangered/Threatened Ecosystems, Habitats and Species Regulations)","All species listed in CITES Appendix I (trade prohibited/heavily restricted); Appendix II (trade regulated with permits); Appendix III (national protection)","Appendix I: commercial international trade prohibited; Appendix II: trade permitted only with CITES permit from KWS; Appendix III: import requires CITES certificate of origin","Kenya Wildlife Service (KWS) as CITES Management Authority; Kenya Revenue Authority (KRA) at borders/ports",https://cites.org/eng/parties/country-profiles/ke,"Kenya ratified CITES 1978. Kenya hosts CITES Secretariat in Nairobi. CITES Appendix I species are de facto incorporated into WCMA Sixth Schedule protections."
LAW08,"Plant Protection Act","PPA",Cap. 324,1937,2022,"Powers to prohibit/restrict importation of any plants, plant pests, and associated material; prevention of introduction and spread of plant pests and diseases","All plant species (especially exotic/alien plants); plant pests; invasive plants","Import prohibition or restriction of specified plants/materials; intentional introduction of alien plant species requires Standing Technical Committee approval","Kenya Plant Health Inspectorate Service (KEPHIS)",https://new.kenyalaw.org/akn/ke/act/1937/24/eng@2022-12-31,"Under review 2022–2023 to strengthen regulatory framework."
LAW09,"Kenya Maritime Authority Act","KMAA",No. 5 of 2006,2006,2020,"Maritime safety; prevention of marine pollution; preservation of marine environment","Marine species and ecosystems (indirectly through pollution prevention)","Prevention of marine pollution; enforcement of shipping safety and environmental standards in Kenyan waters","Kenya Maritime Authority (KMA)",https://new.kenyalaw.org/akn/ke/act/2006/5/eng@2020-12-31,"Relevant to illegal wildlife trade through seaports; coordinates with KeFS and KWS on marine enforcement."
LAW10,"National Museums and Heritage Act","NMHA",No. 6 of 2006,2006,2022,"Protection of natural heritage including paleontological specimens and endemic species of scientific value","Paleontological specimens; endemic/scientifically significant species","No removal/export of listed natural heritage items without National Museums of Kenya authorisation","National Museums of Kenya (NMK)",https://new.kenyalaw.org/akn/ke/act/2006/6/eng@2022-12-31,"Administers natural heritage including Type specimens of Kenya endemic species."
