GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ke,restriction_type,governing_law
2765940,Kenya,NA,NATIONAL,NA,Pontederia crassipes,Prohibited,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,"Arrived Kenya ~1989. Declared noxious weed under Cap 325 Schedule. EMCA 1999 s.42(d) prohibits any person from introducing 'any part of a plant specimen, whether alien or indigenous, dead or alive, in any river, lake or wetland' without Director-General approval. FAO/KEPHIS Table 1: serious ecosystem & livelihood impact. Biocontrol (Neochetina weevils) deployed on Lake Victoria. Sources: GISD https://www.iucngisd.org/gisd/species.php?sc=70 | FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | Cap 325 http://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/SuppressionofNoxiousWeedsAct_Cap325.pdf | EMCA 1999 https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31",Pontederia,yes,freshwater,Declared noxious weed; introduction prohibited; eradication active,Prohibited introduction; active control,Suppression of Noxious Weeds Act Cap 325; EMCA 1999 s.42(d)
5274863,Kenya,NA,NATIONAL,NA,Salvinia molesta,Prohibited,species,Salviniaceae,"African payal, Giant salvinia, Kariba weed, Water fern, African payal, African pyle, Aquarium watermoss, Giant water fern, Velvet weed, Kariba weed, Salvinia moss, aquarium watermoss, giant salvinia, kariba weed, kariba-weed, water fern, Giant Salvinia",Salvinia adnata,"Arrived Kenya 1984. FAO/KEPHIS Table 1: serious impact. Cap 325 Schedule lists S. auriculata (taxonomically close but distinct). EMCA 1999 s.42(d) prohibits any person from introducing 'any part of a plant specimen, whether alien or indigenous, dead or alive, in any river, lake or wetland' without Director-General approval. Dominant alien in Lake Naivasha floating mats (Harper et al. 1995). Sources: GISD https://www.iucngisd.org/gisd/species.php?sc=569 | FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | EPPO https://gd.eppo.int/taxon/SAVMO/datasheet | Harper et al. 1995 https://link.springer.com/article/10.1007/BF00177693 | EMCA 1999 https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31",Salvinia,yes,freshwater,Introduction prohibited; invasive aquatic fern,Prohibited introduction,Suppression of Noxious Weeds Act Cap 325 (as S. auriculata); EMCA 1999 s.42(d)
5358460,Kenya,NA,NATIONAL,NA,Prosopis juliflora,Restricted,species,Fabaceae,"Mesquite, Prosopis, Mesquite, Algaroba bean, Mexican thorn, Ironwood, algarroba-bean, ironwood, mesquite","Acacia juliflora, Algarobia juliflora, Entada juliflora, Mimosa furcata, Mimosa juliflora, Neltuma juliflora, Neltuma occidenatlis, Prosopis vidaliana",Introduced 1983 for arid-zone revegetation. Now invasive in ASALs. FAO/KEPHIS Table 1: serious ecosystem & livelihood impact. Declared invasive by Kenya government; eradication in Baringo & northern Kenya. Sources: GISD https://www.iucngisd.org/gisd/species.php?sc=77 | FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | CABI https://www.cabi.org/isc/datasheet/43897,Prosopis,no,NA,Introduction restricted; eradication in sensitive areas,Restricted; invasive alien species,EMCA 1999 s.42(d) for riparian contexts; Plant Protection Act Cap 324 (framework)
2925303,Kenya,NA,NATIONAL,NA,Lantana camara,Restricted,species,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia","Present since 1950s. FAO/KEPHIS: out-competes vegetation, poisonous to livestock, tsetse habitat. CABI explicitly states NOT listed as noxious weed in Kenya (as of survey). Standard Media Kenya confirms: 'Lantana is yet to be listed as a noxious weed in East Africa.' Sources: GISD https://www.iucngisd.org/gisd/species.php?sc=56 | FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | Standard Media https://www.standardmedia.co.ke/smart-harvest/article/2000203235",Lantana,no,NA,Ecologically invasive; NOT formally declared noxious weed,"Invasive alien species (ecological, not legally declared)",No species-specific legal declaration found; EMCA 1999 s.42(d) for riparian contexts; Plant Protection Act Cap 324 (framework)
5384075,Kenya,NA,NATIONAL,NA,Opuntia stricta,Restricted,species,Cactaceae,"Araluen pear, Common pest pear, Prickly pear, Erect Pricklypear, Erect Pricklypear, Erect prickly pear, Prickle, Sour Prickle, erect prickly-pear","Cactus opuntia inermis, Cactus strictus, Consolea bahamana, Opuntia airampo, Opuntia bahamana, Opuntia balearica, Opuntia bartramii, Opuntia bentonii, Opuntia dillenii reitzii, Opuntia inermis, Opuntia keyensis, Opuntia longiclada, Opuntia macracantha, Opuntia macrantha, Opuntia magnifica, Opuntia parva, Opuntia stricta esparzae, Opuntia stricta reitzii, Opuntia stricta stricta, Opuntia tenuiflora, Opuntia vulgaris balaerica, Opuntia vulgaris balearica, Pilocereus flavispinus, Pilocereus nobilis, Opulea bahamana",Major invasive in dry savannas. Threatens Grevy's zebra habitat in Laikipia. FAO/KEPHIS Table 1: serious ecosystem impact. Active biocontrol and mechanical removal programmes. Sources: CABI https://www.cabi.org/isc/datasheet/37714 | FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm,Opuntia,no,NA,Introduction restricted; eradication at Laikipia and Samburu,Restricted; invasive alien species,EMCA 1999 s.42(d) for riparian contexts; Plant Protection Act Cap 324 (framework)
7792960,Kenya,NA,NATIONAL,NA,Allium vineale,Prohibited,species,Amaryllidaceae,"Crow Garlic, Crow garlic, False Garlic, Field Garlic, Stag Garlic, Wild Garlic, Wild Onion, crow garlic, false garlic, field garlic, stag garlic, wild garlic, wild onion","Allium affine, Allium arenarium, Allium arvense, Allium assimile, Allium campestre, Allium canadense, Allium compactum, Allium descendens, Allium guttatum compactum, Allium kochii, Allium laxiflorum, Allium littoreum, Allium margaritaceum bulbiferum, Allium margaritaceum compactum, Allium monspessulanum, Allium nitens, Allium purshii, Allium rilaense, Allium rotundum, Allium sphaerocephalon compactum, Allium sphaerocephalum, Allium subvineale, Allium vineale compactum, Allium vineale affine, Allium vineale asperiflorum, Allium vineale capsuliferum, Allium vineale kochii, Allium vineale purpureum, Allium vineale vineale, Allium vineale biceps, Allium vineale bulbiferum, Allium vineale descendens, Allium vineale laxiflorum, Allium vineale monspessulanum, Allium vineale multiflorum, Allium vineale multiplicatum, Allium vineale nitens, Allium vineale pratense, Allium vineale purshii, Allium vineale sylvaticum, Allium vineale typicum, Allium vineale virens, Getuonis vinealis, Porrum capitatum, Porrum vineale","FAO/KEPHIS Table 1: serious economic impact to horticultural farmers. Contaminates wheat grain and taints dairy products. No publicly accessible KEPHIS document names this species, but FAO/KEPHIS chapter confirms invasive status. Sources: FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | CABI https://www.cabi.org/isc/datasheet/4255",Allium,no,NA,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,Plant Protection Act Cap 324 (framework; no public species schedule)
3088481,Kenya,NA,NATIONAL,NA,Tagetes minuta,Restricted,species,Asteraceae,"Mexican marigold, Aztec marigold, Mexican marigold, Muster John Henry, Muster john henry, Southern Marigold, Southern marigold, Muster-John-Henry, Marigold, dwarf marigold, khakibush, little marigold, minute marigold, muster John Henry, southern marigold, stinking-Roger, wild marigold, Stinking Roger","Tagetes bonariensis, Tagetes glandulifera, Tagetes glandulosa, Tagetes montana, Tagetes porophyllum, Tagetes tinctoria","FAO/KEPHIS Table 1: one of 9 invasive plants in Kenya. Allelopathic annual weed widespread in highland Kenya. Weed of maize, beans, wheat. Sources: FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | CABI https://www.cabidigitallibrary.org/doi/abs/10.1079/cabicompendium.52642 | Cropnuts Kenya https://cropnuts.com/wp-content/uploads/2020/08/Arable-Weeds-Guide.pdf",Tagetes,no,NA,Invasive weed; no species-specific legal declaration found,Invasive alien species (ecological),Plant Protection Act Cap 324 (framework)
2928509,Kenya,NA,NATIONAL,NA,Ipomoea,Restricted,genus,Convolvulaceae,"Morning glory, Morning-glory, Morningglory, morning glory, morning-glories, morning-glory, morningglory, Morning-glories","Acmostemon, Adamboe, Amphione, Apopleumon, Batatas, Bombycospermum, Bonanox, Calboa, Calonyction, Calycanthemum, Calycantherum, Cleiemera, Cleiostoma, Clitocyamos, Coiladena, Convolvuloides, Decaloba, Diatrema, Diatremis, Dimerodiscus, Dimerodisus, Doxema, Elythrostamna, Euryloma, Exallosis, Exocroa, Exogonium, Fraxima, Gynoisa, Isypus, Kolofonia, Lariospermum, Latrienda, Legendrea, Leptocallis, Macrostemma, Marcellia, Melascus, Milhania, Mina, Modesta, Morenoa, Navipomoea, Neorthosis, Nil, Ornithosperma, Parasitipomaea, Parasitipomoea, Pentacrostigma, Pharbitis, Plesiagopus, Quamoclit, Quamoclita, Quamoclitia, Saccia, Stomadena, Tereietra, Tirtalia, Tremasperma, Turbina",FAO/KEPHIS Table 1: one of 9 invasive plants in Kenya. I. hildebrandtii dominant species in rangelands. 3 million acres affected in Kajiado County; declared county disaster. Sources: FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | WWF-Kenya https://wwf-kenya.medium.com/combatting-the-invasive-ipomoea-scourge-in-kajiado-county-2b3c7605ea68 | Kenya News Agency https://www.kenyanews.go.ke/invasive-weed-proves-a-menace-to-kajiado-livestock-farmers/,Ipomoea,no,NA,Invasive weed; county-level disaster declarations,Invasive alien species; county-level control,EMCA 1999 s.42(d) for riparian contexts; Kajiado County disaster declaration
7493935,Kenya,NA,NATIONAL,NA,Eucalyptus,Restricted,genus,Myrtaceae,"Eucalyptus, Gum, Gums, gum, gums","Aromadendron, Aromadendrum, Eucalypton, Eudesmia, Symphyomyrtus",FAO/KEPHIS Table 1: one of 9 invasive plants in Kenya. High water consumption and allelopathy in riparian zones. NEMA enforces 30m buffer from water sources. Court orders for removal. Sources: FAO/KEPHIS https://www.fao.org/4/y5968e/y5968e10.htm | Africa Check https://africacheck.org/fact-checks/blog/analysis-thirsty-species-science-behind-eucalyptus-tree-ban-kenyas-wetlands | Daily Nation https://nation.africa/kenya/news/uproot-all-eucalyptus-trees-within-30m-of-water-sources-5262368,Eucalyptus,no,NA,Regulated; banned in riparian zones (30m buffer),Regulated introduction; riparian planting prohibited,Agriculture Act (farm forestry rules); Water Act; NEMA guidelines under EMCA 1999
2706242,Kenya,,NATIONAL,,Lolium temulentum,Prohibited,species,Poaceae,"Darnel, poison darnel, cockle","Lolium arvense, Lolium linicola, Lolium speciosum, Lolium maximum","Named in the Schedule to the Suppression of Noxious Weeds Act, Cap 325 as a declared noxious weed throughout Kenya. Cap 325 ss.5-7 place a duty on occupiers to report, and empower inspectors to enter land, order clearance, and eradicate. Poisonous annual grass; contaminates cereal grain (especially wheat) with ergot-like alkaloids. Sources: Cap 325 Schedule http://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/SuppressionofNoxiousWeedsAct_Cap325.pdf | CABI https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.31166 | GBIF https://www.gbif.org/species/2706242",Lolium,no,NA,Declared noxious weed (Cap 325 Schedule); introduction prohibited,Prohibited; active control required,Suppression of Noxious Weeds Act Cap 325 (Schedule)
