GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_br,restriction_type,governing_law
9119360,Brazil,,NATIONAL,,Paubrasilia echinata,Magnoliopsida,species,Fabaceae,"brazilwood, pernambuco-wood","Caesalpinia echinata, Caesalpinia obliqua, Caesalpinia vesicaria, Guilandina echinata",National tree; bow-making wood; Atlantic Forest endemic; <10% habitat remains,Paubrasilia,no,,Endangered (Port. 443/2014) <U+2014> National Tree,Collection/trade prohibited,Port. MMA 443/2014 / CITES
2684940,Brazil,,NATIONAL,,Araucaria angustifolia,Pinopsida,species,Araucariaceae,"Brazilian-pine, Candelabra Tree, Parana Pine, Parana pine, Parana-pine, Paraná-pine, candelabra-tree","Araucaria angustifolia, Araucaria angustifolia catharinensis, Araucaria angustifolia alba, Araucaria angustifolia caiova, Araucaria angustifolia caiuva, Araucaria angustifolia dependens, Araucaria angustifolia indehiscens, Araucaria angustifolia monoica, Araucaria angustifolia nigra, Araucaria angustifolia sancti-josephi, Araucaria angustifolia semialba, Araucaria angustifolia stricta, Araucaria angustifolia vinacea, Araucaria bibbiani, Araucaria brasiliana, Araucaria brasiliana elegans, Araucaria brasiliana gracilis, Araucaria brasiliana ridolfiana, Araucaria brasiliana saviana, Araucaria brasiliensis, Araucaria brasiliensis saviana, Araucaria dioica, Araucaria elegans, Araucaria gracilis, Araucaria lindleyana, Araucaria ridolfiana, Araucaria saviana, Columbea angustifolia, Columbea brasiliana, Columbea brasiliana elegans, Columbea brasiliana ridolfiana, Columbea brasiliensis, Columbea brasiliensis ridolfiana, Columbea brasiliensis ridolfina, Pinus dioica",Atlantic Forest conifer; >97% decline; seeds (pinh<U+00E3>o) culturally important,Araucaria,no,,CR (Port. 443/2014) <U+2014> CITES App. I,Felling/collection prohibited,Port. MMA 443/2014 / CITES
2968672,Brazil,,NATIONAL,,Dalbergia nigra,Magnoliopsida,species,Fabaceae,"Bahia rosewood, Brazilian rosewood, Rio rosewood, rosewood, Bahia Rosewood, Brazilian Rosewood, Rio Rosewood","Amerimnon nigrum, Dalbergia nigra, Drepanocarpus microphyllus, Miscolobium nigrum, Pterocarpus niger, Pterocarpus nigra",Most restricted timber globally; CITES Appendix I since 1992; Atlantic Forest endemic,Dalbergia,no,,VU (Port. 443/2014) <U+2014> CITES App. I,All trade prohibited,Port. MMA 443/2014 / CITES
7316900,Brazil,,NATIONAL,,Aspidosperma polyneuron,Magnoliopsida,species,Apocynaceae,Peroba-rosa,"Aspidosperma dugandii, Aspidosperma peroba, Aspidosperma polyneuron genuinum, Aspidosperma polyneuron longifolium, Aspidosperma polyneuron puberulum, Aspidosperma venosum, Thyroma polyneura",Premium Atlantic Forest timber; heavily logged; slow regeneration,Aspidosperma,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
4176150,Brazil,,NATIONAL,,Ocotea catharinensis,Magnoliopsida,species,Lauraceae,Canela-preta,Nectandra dubia,Atlantic Forest laurel; prized timber; severe population decline in SC/PR,Ocotea,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
4177566,Brazil,,NATIONAL,,Mespilodaphne quixos,Magnoliopsida,species,Lauraceae,"Brazilian-sassafras, sassafras",NA,Sassafras oil source; over-exploited for essential oil industry,Mespilodaphne,no,,EN (Port. 443/2014),Logging/extraction prohibited,Port. MMA 443/2014
2945759,Brazil,,NATIONAL,,Myrocarpus frondosus,Magnoliopsida,species,Fabaceae,Cabre<U+00FA>va,"Leptolobium punctatum, Myrocarpus frondosus paraguariensis, Myrocarpus paraguariensis",Balsam-scented timber; Atlantic Forest; severely reduced by logging,Myrocarpus,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
7107974,Brazil,,NATIONAL,,Cedrela fissilis,Magnoliopsida,species,Meliaceae,Argentine cedar,"Cedrela alliacea, Cedrela barbata, Cedrela boliviana, Cedrela brasiliensis, Cedrela brasiliensis australis, Cedrela brunellioides, Cedrela caldasana, Cedrela elliptica, Cedrela fissilis glabrior, Cedrela fissilis macrocarpa, Cedrela hirsuta, Cedrela huberi, Cedrela longiflora, Cedrela macrocarpa, Cedrela pachyrhachis, Cedrela pilgeri, Cedrela regnellii, Cedrela tubiflora, Cedrela tubiflora angustifolia, Cedrela tubiflora grandifolia, Cedrela tubiflora parvifoliola, Cedrela tubiflora typica, Cedrela tubiflora bertoniensis, Cedrela tubiflora tubiflora, Cedrela tubiflora intermedia, Cedrela tubiflora lagenaria, Surenus fissilis",Premium cabinet timber; CITES App. III; population fragmented across biomes,Cedrela,no,,EN (Port. 443/2014),Harvest regulated / export controlled,Port. MMA 443/2014 / CITES
7427554,Brazil,,NATIONAL,,Ocotea porosa,Magnoliopsida,species,Lauraceae,Brazilian-walnut,"Cinnamomum porosum, Nectandra speciosa, Ocotea porosa, Oreodaphne porosa, Phoebe porosa",Araucaria Forest associate; prized furniture wood; critically reduced in PR/SC,Ocotea,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
2968835,Brazil,,NATIONAL,,Dalbergia hortensis,Magnoliopsida,species,Fabaceae,Jacarand<U+00E1>-da-bahia,NA,Bahian rosewood; all Dalbergia spp. now CITES App. II; smuggling concern,Dalbergia,no,,EN (Port. 443/2014),Trade regulated / export prohibited,Port. MMA 443/2014 / CITES
