GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_cl,restriction_type,governing_law
2684984,Chile,,NATIONAL,,Araucaria araucana,Pinopsida,species,Araucariaceae,"Chilean-pine, Monkey Puzzle, Monkey-puzzle, chilean-pine, monkey puzzle tree, monkey-puzzle, monkey-puzzle-tree, monkeypuzzle tree, Monkey-Puzzle","Abies araucana, Araucaria araucana virgata, Araucaria araucana conguillioensis, Araucaria araucana angustifolia, Araucaria araucana aurea, Araucaria chilensis, Araucaria dombeyi, Araucaria imbricata, Araucaria imbricata aureovariegata, Araucaria imbricata aurea, Araucaria imbricata platifolia, Araucaria imbricata variegata, Columbea imbricata, Columbea imbricata densa, Columbea imbricata denudata, Columbea imbricata distans, Columbea imbricata latifolia, Columbea imbricata striata, Columbea imbricata variegata, Columbea quadrifaria, Colymbea quadrifaria, Dombeya araucana, Dombeya chilensis, Pinus araucana, Quadrifaria imbricata","Pehu<U+00E9>n; Chile-Argentina endemic; sacred to Mapuche/Pehuenche peoples; 1,000+ yr lifespan; illegal logging persists",Araucaria,no,,National Monument <U+2014> Strictly Protected (CITES App. I),Felling/collection prohibited,Ley 19.473 / DS 43/1990 / CITES
2684353,Chile,,NATIONAL,,Fitzroya cupressoides,Pinopsida,species,Cupressaceae,"Chilean False Larch, Chilean false larch, Patagonian Cypress, Patagonian cypress, Patagonian-cypress","Abies cupressoides, Cupresstellata patagonica, Fitzroya patagonica, Libocedrus cupressoides, Pinus cupressoides","Alerce / Patagonian cypress; up to 3,600 yr lifespan; one of world's oldest trees; protected since 1976; past logging severe",Fitzroya,no,,National Monument <U+2014> Strictly Protected (CITES App. I),Felling/trade prohibited,DS 490/1976 / CITES
2684235,Chile,,NATIONAL,,Pilgerodendron uviferum,Pinopsida,species,Cupressaceae,Guaitecas Cypress,"Juniperus uvifera, Libocedrus tetragona, Libocedrus tetragona nana, Libocedrus uvifera, Thuja tetragona",Cipr<U+00E9>s de las Guaitecas; world's southernmost conifer; Patagonian wetlands; heavily logged historically; slow recovery,Pilgerodendron,no,,Vulnerable (DS 13/2013) <U+2014> CITES App. I,Felling/trade prohibited,DS 13/2013 / CITES
2735138,Chile,,NATIONAL,,Jubaea chilensis,Magnoliopsida,species,Arecaceae,"Chile Cocopalm, Chile cocopalm, Chilean coco palm, Chilean wine palm, coquito palm, honey palm, little cokernut, syrup palm","Cocos chilensis, Jubaea spectabilis, Micrococos chilensis, Molinaea micrococos, Palma chilensis",Coquito palm; world's southernmost and largest palm; slow-growing; sap harvest traditionally killed trees; populations fragmented,Jubaea,no,,Vulnerable (DS 13/2013) <U+2014> protected,Felling prohibited; harvest regulated,DS 13/2013 / Ley 19.473
7720784,Chile,,NATIONAL,,Gomortega keule,Magnoliopsida,species,Gomortegaceae,Queule,"Adenostemum nitidum, Gomortega keule, Gomortega nitida, Keulia chilensis, Lucuma keule","Monotypic family Gomortegaceae; Maule-Biob<U+00ED>o endemic; <2,500 individuals remain; habitat loss to forestry plantations",Gomortega,no,,Endangered (DS 13/2013),Felling/collection prohibited,DS 13/2013 / Ley 20.283
3836895,Chile,,NATIONAL,,Pitavia punctata,Magnoliopsida,species,Rutaceae,Pitao,"Galvezia punctata, Pitavia spicata",Monotypic family Pitaviaceae (now Rutaceae); Maule-Biob<U+00ED>o coastal range; <500 mature individuals; pine plantation displacement,Pitavia,no,,Endangered (DS 13/2013),Felling/collection prohibited,DS 13/2013 / Ley 20.283
2874927,Chile,,NATIONAL,,Nothofagus alessandrii,Magnoliopsida,species,Nothofagaceae,Ruil,"Fuscospora alessandrii, Pleiosyngyne alessandrii",Maule Region endemic; <500 ha of forest remaining; surrounded by Pinus radiata plantations; critically fragmented,Nothofagus,no,,Critically Endangered (DS 13/2013),Felling/collection prohibited,DS 13/2013 / Ley 20.283
4176205,Chile,,NATIONAL,,Beilschmiedia miersii,Magnoliopsida,species,Lauraceae,bellota,Bellota miersii,"Chilean laurel; Valpara<U+00ED>so-O'Higgins endemic; sclerophyllous forest remnants; <2,000 ha; fire and urbanisation threats",Beilschmiedia,no,,Vulnerable (DS 13/2013),Felling prohibited,DS 13/2013 / Ley 20.283
4178220,Chile,,NATIONAL,,Beilschmiedia berteroana,Magnoliopsida,species,Lauraceae,Belloto del sur,"Adenostemum nitidum, Bellota nitida, Bellota pauciflora, Boldu nitidum, Cryptocarya berteroana, Cryptocarya nitida",Southern belloto; Maule-Biob<U+00ED>o; similar threats to B. miersii; riparian forest remnants; fewer than 10 known populations,Beilschmiedia,no,,Vulnerable (DS 13/2013),Felling prohibited,DS 13/2013 / Ley 20.283
4935836,Chile,,NATIONAL,,Berberidopsis corallina,Magnoliopsida,species,Berberidopsidaceae,coralplant,NA,Coral plant; monotypic family Berberidopsidaceae; Biob<U+00ED>o-Araucan<U+00ED>a; ornamental demand; forest fragmentation,Berberidopsis,no,,Endangered (DS 13/2013),Collection prohibited,DS 13/2013
