GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_co,restriction_type,governing_law
2901294,Colombia,,NATIONAL,,Cinchona pubescens,Magnoliopsida,species,Rubiaceae,"Quinine tree, Quinine, Red cinchona, quinine, red Peruvian-bark, red cinchona, redbark, Red Cinchona, Quinine","Cinchona caloptera, Cinchona chomeliana, Cinchona colorata, Cinchona cordifolia, Cinchona cordifolia macrocarpa, Cinchona cordifolia microcarpa, Cinchona cordifolia peruviana, Cinchona cordifolia rotundifolia, Cinchona cordifolia vera, Cinchona coronulata, Cinchona decurrentifolia, Cinchona elliptica, Cinchona goudotiana, Cinchona govana, Cinchona grandifolia, Cinchona howardiana, Cinchona lechleriana, Cinchona lutea, Cinchona morado, Cinchona obovata, Cinchona ovata, Cinchona ovata rufinervis, Cinchona ovata vulgaris, Cinchona palescens, Cinchona pallescens, Cinchona pallescens ovata, Cinchona pelalba, Cinchona pelletieriana, Cinchona platyphylla, Cinchona pubescens cordata, Cinchona pubescens ovata, Cinchona pubescens pelletieriana, Cinchona pubescens purpurea, Cinchona purpurascens, Cinchona purpurea, Cinchona rosulenta, Cinchona rotundifolia, Cinchona rubicunda, Cinchona rufinervis, Cinchona rugosa, Cinchona subsessilis, Cinchona succirubra, Cinchona succirubra conglomerata, Cinchona succirubra cuchicara, Cinchona succirubra erythroderma, Cinchona succirubra spruceana, Cinchona succirubra vera, Cinchona tucujensis, Quinquina obovata, Quinquina ovata, Quinquina pubescens, Quinquina succirubra",Bark source of quinine; Andean cloud forests; over-harvested historically,Cinchona,no,,Vulnerable (Res. 1912/2017),Regulated collection/trade,Res. 1912/2017 / CITES
7304518,Colombia,,NATIONAL,,Aniba rosaeodora,Magnoliopsida,species,Lauraceae,"Brazilian rosewood, rosewoodtree","Aniba duckei, Aniba rosaeodora amazonica, Aniba rosiodora amazonica, Aniba rosodora amazonica",Amazon timber; essential oil (linalool); heavily exploited for fragrance industry,Aniba,no,,Endangered (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2731831,Colombia,,NATIONAL,,Ceroxylon quindiuense,Magnoliopsida,species,Arecaceae,Wax palm,"Ceroxylon floccosum, Klopstockia quindiuensis",World's tallest palm; Colombia national tree; habitat loss and frond harvest for Palm Sunday,Ceroxylon,no,,Endangered (Res. 1912/2017) <U+2014> National Tree,Collection prohibited,Res. 1912/2017 / Decreto 1076
2736296,Colombia,,NATIONAL,,Phytelephas aequatorialis,Magnoliopsida,species,Arecaceae,ivory palm,Palandra aequatorialis,Vegetable ivory; Pacific lowlands; overharvested for traditional crafts and export,Phytelephas,no,,Near Threatened (Res. 1912/2017),Regulated harvest,Res. 1912/2017
4180651,Colombia,,NATIONAL,,Aniba perutilis,Magnoliopsida,species,Lauraceae,Comino crespo,Aniba compacta,Precious timber; Andean-Pacific forests; near-total depletion from logging; permanent harvest ban,Aniba,no,,CR (Res. 1912/2017); veda total,Collection/trade prohibited,Res. 1912/2017 / Res. 0316/1974
3083028,Colombia,,NATIONAL,,Cariniana pyriformis,Magnoliopsida,species,Lecythidaceae,Colombian Mahogany,"Cariniana clavata, Cariniana exigua",Amazonian-Caribbean hardwood; prized timber; wild populations severely reduced,Cariniana,no,,CR (Res. 1912/2017); veda total,Collection/trade prohibited,Res. 1912/2017 / Res. 0316/1974
5286006,Colombia,,NATIONAL,,Podocarpus oleifolius,Pinopsida,species,Podocarpaceae,olive-leaf podoberry,"Nageia macrostachya, Nageia oleifolia, Podocarpus ballivianensis, Podocarpus ingensis, Podocarpus macrostachys, Podocarpus macrostachyus, Podocarpus monteverdeensis, Podocarpus oleifolius columbianus, Podocarpus oleifolius costaricensis, Podocarpus oleifolius equadorensis, Podocarpus oleifolius trujillensis, Podocarpus oleifolius macrostachys, Podocarpus oleifolius macrostachyus","Native conifer of Andean cloud forests; 1,800<U+2013>3,500 m; timber exploitation; slow-growing",Podocarpus,no,,Vulnerable (Res. 1912/2017),Regulated harvest,Res. 1912/2017
3190484,Colombia,,NATIONAL,,Swietenia macrophylla,Magnoliopsida,species,Meliaceae,"Big Leaf Mahogany, Big-leaf Mahogany, Brazilian Mahogany, Honduran mahogany, Honduras Mahogany, Honduras mahogany, Large-leaved Mahogany, mahogany, Bigleaf Mahogany","Swietenia belizensis, Swietenia candollei, Swietenia krukovii, Swietenia macrophylla marabaensis, Swietenia tesomannii, Swietenia tessmannii",Big-leaf mahogany; Magdalena-Urab<U+00E1> forests; heavily logged for international timber trade,Swietenia,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
3153324,Colombia,,NATIONAL,,Magnolia hernandezii,Magnoliopsida,species,Magnoliaceae,Molinillo,Talauma hernandezii,Endemic Magnolia; Valle del Cauca cloud forests; seed used as traditional chocolate stirrer; habitat highly fragmented,Magnolia,no,,CR (Res. 1912/2017),Collection prohibited,Res. 1912/2017
2876672,Colombia,,NATIONAL,,Trigonobalanus excelsa,Magnoliopsida,species,Fagaceae,Roble negro,NA,Endemic monotypic genus; Serran<U+00ED>a de San Lucas and Magdalena Medio; timber and deforestation pressure,Trigonobalanus,no,,Vulnerable (Res. 1912/2017),Regulated harvest,Res. 1912/2017
2731822,Colombia,,NATIONAL,,Ceroxylon alpinum,Magnoliopsida,species,Arecaceae,wax palm,"Ceroxylon alpinum alpinum, Ceroxylon andicola, Ceroxylon andicola occidentale, Ceroxylon andicolum, Ceroxylon andicolum occidentale, Ceroxylon ferrugineum, Iriartea andicola","Second wax palm species; Andean slopes 2,000<U+2013>3,000 m; habitat loss from cattle ranching",Ceroxylon,no,,Endangered (Res. 1912/2017),Collection prohibited,Res. 1912/2017 / Decreto 1076
