GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_india,restriction_type,governing_law
2825328,India,,NATIONAL,,Paphiopedilum druryi,Magnoliopsida,species,Orchidaceae,Drury’s Paphiopedilum,"Cordula druryi, Cypripedium druryi, Paphiopedilum druryi",Most threatened Indian slipper orchid; Agasthyamalai hills; <100 plants,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2825350,India,,NATIONAL,,Paphiopedilum fairrieanum,Magnoliopsida,species,Orchidaceae,"Fairrie's Paphiopedilum, Lady's Slipper Orchid","Cordula fairrieana, Cypripedium assamicum, Cypripedium fairrieanum, Paphiopedilum fairrieanum, Paphiopedilum fairrieanum bohlmannianum, Paphiopedilum fairrieanum giganteum, Paphiopedilum fairrieanum nigrescens",Himalayan slipper orchid; Sikkim/Arunachal; horticultural demand,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2825359,India,,NATIONAL,,Paphiopedilum venustum,Magnoliopsida,species,Orchidaceae,Laddy's Slipper Orchid,"Cordula venusta, Cypripedium pardinum, Cypripedium venustum, Cypripedium venustum measuresianum, Cypripedium venustum spectabile, Paphiopedilum pardinum, Paphiopedilum venustum measuresianum, Paphiopedilum venustum pardinum, Paphiopedilum venustum bhutanensis, Paphiopedilum venustum rubrum, Paphiopedilum venustum teestaensis, Stimegas venustum",NE India slipper orchid; lowland forests of Assam/Meghalaya,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2825586,India,,NATIONAL,,Paphiopedilum villosum,Magnoliopsida,species,Orchidaceae,"Hairy Slipper Orchid, The Hirsute Paphiopedilum, Villose Paphiopedilum","Cordula boxallii, Cordula villosa, Cypripedium boxallii, Cypripedium dilectum, Cypripedium villosum, Paphiopedilum boxallii, Paphiopedilum dilectum, Paphiopedilum villosum",NE India/Myanmar border; sub-montane forests; heavy collection,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2825197,India,,NATIONAL,,Paphiopedilum spicerianum,Magnoliopsida,species,Orchidaceae,Spicer’s Paphiopedilum,"Cordula spiceriana, Cypripedium spicerianum, Cypripedium spicerianum leodiense, Paphiopedilum spicerianum burkhardii, Paphiopedilum spicerianum immaculatum",NE India endemic; Assam/Nagaland/Manipur; smuggling for trade,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2825576,India,,NATIONAL,,Paphiopedilum insigne,Magnoliopsida,species,Orchidaceae,Splendid Paphiopedilum,"Cordula insignis, Cypripedium albomarginatum, Cypripedium chantinii, Cypripedium insigne, Cypripedium insigne barrii, Cypripedium insigne boiesianum, Cypripedium insigne robinsonianum, Cypripedium insigne albomarginatum, Cypripedium insigne amesianum, Cypripedium insigne amoenum, Cypripedium insigne aureoalbum, Cypripedium insigne biflorum, Cypripedium insigne chantinii, Cypripedium insigne colosianum, Cypripedium insigne cypheri, Cypripedium insigne duvalii, Cypripedium insigne elegantissimum, Cypripedium insigne eyermannianum, Cypripedium insigne forstermanii, Cypripedium insigne giganteum, Cypripedium insigne gracile, Cypripedium insigne gravesianum, Cypripedium insigne holzhausenianum, Cypripedium insigne kimballianum, Cypripedium insigne madouxianum, Cypripedium insigne maulei, Cypripedium insigne maulei-superbum, Cypripedium insigne maximum, Cypripedium insigne mcfaddenii, Cypripedium insigne moensii, Cypripedium insigne mooreanum, Cypripedium insigne nilsonii, Cypripedium insigne pynaertii, Cypripedium insigne rubrum-maculatum, Cypripedium insigne rubrum-marginatum, Cypripedium insigne sanderae, Cypripedium insigne sanderianum, Cypripedium insigne savageanum, Cypripedium insigne speciosum, Cypripedium insigne sylhetense, Cypripedium insigne tresederi, Cypripedium insigne veitchianum, Cypripedium insigne wallacei, Cypripedium insigne wrightianum, Cypripedium maulei, Paphiopedilum insigne sanderae, Paphiopedilum insigne sanderianum, Paphiopedilum insigne albomarginatum, Paphiopedilum insigne amesianum, Paphiopedilum insigne amoenum, Paphiopedilum insigne aureoalbum, Paphiopedilum insigne biflorum, Paphiopedilum insigne chantinii, Paphiopedilum insigne cypheri, Paphiopedilum insigne duvalii, Paphiopedilum insigne elegantissimum, Paphiopedilum insigne forstermanii, Paphiopedilum insigne giganteum, Paphiopedilum insigne gracile, Paphiopedilum insigne holzhausenianum, Paphiopedilum insigne kimballianum, Paphiopedilum insigne madouxianum, Paphiopedilum insigne maulei, Paphiopedilum insigne maximum, Paphiopedilum insigne moensii, Paphiopedilum insigne mooreanum, Paphiopedilum insigne nilsonii, Paphiopedilum insigne pynaertii, Paphiopedilum insigne rubrum-maculatum, Paphiopedilum insigne rubrum-marginatum, Paphiopedilum insigne speciosum, Paphiopedilum insigne sylhetense, Paphiopedilum insigne tresederi, Paphiopedilum insigne wallacei, Paphiopedilum macfarlanei",NE India; Nagaland/Manipur; historically over-collected for European trade,Paphiopedilum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2820366,India,,NATIONAL,,Cypripedium cordigerum,Magnoliopsida,species,Orchidaceae,Heart-Shaped Lip Cypripedium,NA,High-altitude Himalayan orchid; entire genus Schedule VI,Cypripedium,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2820331,India,,NATIONAL,,Cypripedium himalaicum,Magnoliopsida,species,Orchidaceae,Himalayan Cypripedium,"Cypripedium himalaicum, Cypripedium macranthon himalaicum, Cypripedium macranthos himalaicum",Himalayan alpine orchid; J&K to Arunachal; high-altitude meadows,Cypripedium,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2820451,India,,NATIONAL,,Cypripedium elegans,Magnoliopsida,species,Orchidaceae,Elegant Cypripedium,Coelogyne elegans,Small Himalayan slipper orchid; Sikkim/Bhutan border forests,Cypripedium,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2783163,India,,NATIONAL,,Vanda coerulea,Magnoliopsida,species,Orchidaceae,"Blue Orchid, blue orchid","Vanda coerulea, Vanda coerulea delicata, Vanda coerulea luwangalba, Vanda coerulea rogersii, Vanda coerulea hennisiana, Vanda coerulea peetersiana, Vanda peetersiana",NE India; heavily collected for horticulture; blue orchid icon,Vanda,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
