GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_id,restriction_type,governing_law
7279683,Indonesia,,NATIONAL,,Rafflesia arnoldi,Magnoliopsida,species,Rafflesiaceae,Rafflesia,Rafflesia titan,World's largest flower; Sumatra endemic; obligate parasite,Rafflesia,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999
2871508,Indonesia,,NATIONAL,,Amorphophallus titanum,Magnoliopsida,species,Araceae,"titan arum, Titan Arum","Amorphophallus selebicus, Amorphophallus titanum, Conophallus titanum",Largest unbranched inflorescence; Sumatra endemic; extreme rarity,Amorphophallus,no,,Protected Species (GR 7/1999),Collection/trade regulated,GR No. 7/1999 / CITES
3941137,Indonesia,,NATIONAL,,Rafflesia horsfieldii,Magnoliopsida,species,Rafflesiaceae,Padma raksasa (Rafflesia patma),NA,Java-endemic Rafflesia; Pangandaran and Ujung Kulon; fewer than 50 known plants,Rafflesia,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999
2871709,Indonesia,,NATIONAL,,Amorphophallus gigas,Magnoliopsida,species,Araceae,Bunga bangkai Sumatra,"Amorphophallus brooksii, Conophallus gigas",Giant Sumatran corpse flower; taller than A. titanum; North Sumatra highlands,Amorphophallus,no,,Protected Species (GR 7/1999),Collection/trade regulated,GR No. 7/1999 / CITES
7299010,Indonesia,,NATIONAL,,Dipterocarpus retusus,Magnoliopsida,species,Dipterocarpaceae,"hollong, hollong gurjuntree","Dipterocarpus austroyunnanicus, Dipterocarpus luchunensis, Dipterocarpus occidentoyunnanensis, Dipterocarpus pubescens, Dipterocarpus retusus macrocarpus, Dipterocarpus retusus tonkinensis, Dipterocarpus retusus retusus, Dipterocarpus retusus yingjiangensis, Dipterocarpus spanoghei, Dipterocarpus spanoghei cordata, Dipterocarpus trinervis, Dipterocarpus trinervis canescens, Dipterocarpus trinervis elegans",PP 7/1999 Appendix; major dipterocarp timber tree; Java and Sumatra,Dipterocarpus,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999 / Forestry
5669231,Indonesia,,NATIONAL,,Hopea odorata,Magnoliopsida,species,Dipterocarpaceae,Damar (cat's-eye resin),"Doona odorata, Hopea decandra, Hopea odorata eglandulosa, Hopea odorata flavescens, Hopea vasta, Hopea wightiana, Neisandra indica",PP 7/1999 listed; valued resin-producing dipterocarp; lowland forests,Hopea,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999
5406675,Indonesia,,NATIONAL,,Sterculia foetida,Magnoliopsida,species,Malvaceae,"Hazel Sterculia, Hazel sterculia, Indian-almond, Java-olive, hazel sterculia","Clompanus foetida, Sterculia mexicana guianensis, Sterculia polyphylla",PP 7/1999 protected; culturally important shade tree; Java and Nusa Tenggara,Sterculia,no,,Protected Species (GR 7/1999),Collection regulated,GR No. 7/1999
2885150,Indonesia,,NATIONAL,,Manilkara kauki,Magnoliopsida,species,Sapotaceae,Wongai Plum,"Achras mammosa, Imbricaria malabarica, Kaukenia kauki, Mimusops bojeri, Mimusops browniana, Mimusops elengi, Mimusops hookeri, Mimusops kauki, Mimusops kauki browniana, Mimusops manilkara",PP 7/1999; sacred tree in Javanese culture; population severely depleted,Manilkara,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999
7623927,Indonesia,,NATIONAL,,Liquidambar excelsa,Magnoliopsida,species,Altingiaceae,rasamala,NA,PP 7/1999; flagship montane tree of West Java; resin tree,Liquidambar,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999
7855627,Indonesia,,NATIONAL,,Pterospermum javanicum,Magnoliopsida,species,Malvaceae,Bayur,"Pterospermadendron blumeanum, Pterospermum blumeanum, Pterospermum javanicum montanum, Pterospermum lanceifolium, Pterospermum subinaequale",PP 7/1999 listed; large canopy tree; Java and Bali,Pterospermum,no,,Protected Species (GR 7/1999),Collection regulated,GR No. 7/1999
2825321,Indonesia,,NATIONAL,,Paphiopedilum rothschildianum,Magnoliopsida,species,Orchidaceae,Rothschild's Paphiopedilum,"Cordula rothschildiana, Cypripedium elliottianum, Cypripedium neoguineense, Cypripedium rothschildianum, Paphiopedilum elliottianum, Paphiopedilum rothschildianum, Paphiopedilum rothschildianum elliottianum",Rarest slipper orchid; Kinabalu-adjacent Kalimantan populations,Paphiopedilum,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999 / CITES
2825261,Indonesia,,NATIONAL,,Paphiopedilum supardii,Magnoliopsida,species,Orchidaceae,Supard's Paphiopedilum,NA,Kalimantan endemic; presumed extinct in wild; CITES Appendix I,Paphiopedilum,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999 / CITES
