GBIFusageKey,gbif_occ_kenya
2765940,31
5274863,26
5358460,498
2925303,1321
5384075,583
2929892,0
7473922,54
3022853,171
2770879,1100
6365236,0
3819564,13
2683713,80
9606396,58
7792960,0
3088481,179
2928509,2579
7493935,170
6288592,7
3066425,23
3063946,18
3699610,12
5547585,28
3896540,9
3662348,3
3849915,3
3867919,14
2905392,11
2925262,54
3081127,27
3904972,58
5547618,40
3066060,24
2966840,33
3874948,25
3850068,15
5576098,21
2953238,32
11104253,10
8021703,26
2895576,19
2687617,10
5348472,15
2977460,47
3158252,38
4070825,34
3156633,6
5792509,25
3661906,14
3790694,10
5417563,15
3059788,72
5555202,29
7797879,12
3834498,25
3035932,15
2683779,28
2901546,28
3768874,53
2944936,118
3897062,21
3155988,17
3852095,1
2966842,302
5603222,18
5348471,21
5355656,18
5564620,8
2883730,3
2884716,1
5571654,26
3786858,70
2906217,23
3616440,16
2895921,59
10810950,5
2886053,46
8177267,34
3834564,38
2893042,45
5357232,10
3863755,31
3863444,46
5355691,20
7223938,5
3804010,99
5547580,27
3158636,62
2964786,2
3157990,80
3158017,85
8259730,1
3918792,98
2981765,69
2970950,18
5351066,34
3074187,29
3157120,30
3154868,43
4070544,54
4070211,12
3987991,41
3752358,1
2952347,57
3788017,18
5352558,22
5335113,24
3834100,12
3834095,35
5327816,32
4177549,0
2900909,51
3075123,55
2886401,45
5576774,0
5602736,1
5335100,35
7226061,2
3075883,52
3071633,9
5378240,1
7769134,5
2886116,1
2925201,53
2893227,43
2968897,45
