law_id,law_name,short_name,act_number,year_enacted,year_last_amended,restriction_category,species_categories,enforcement_institution,url_kenya_law
LAW02,Environmental Management and Co-ordination Act,EMCA,No. 8 of 1999,1999,2022,Biodiversity/Environment,All biological/genetic resources; invasive alien species; threatened/endangered species,National Environment Management Authority (NEMA),https://new.kenyalaw.org/akn/ke/act/1999/8/eng@2022-12-31
LAW06,Biosafety Act,BSA,No. 2 of 2009,2009,2023,Biosafety/GMO,Genetically Modified Organisms (GMOs) of all types,National Biosafety Authority (NBA); KEPHIS; NEMA; KEBS; Directorate of Veterinary Services,https://new.kenyalaw.org/akn/ke/act/2009/2/eng@2023-12-11
LAW12,Proceeds of Crime and Anti-Money Laundering Act,POCAMLA,No. 9 of 2009,2009,2023,Criminal,Proceeds from illegal wildlife trade,Asset Recovery Agency; Kenya Revenue Authority; Kenya Financial Intelligence Centre,https://new.kenyalaw.org/akn/ke/act/2009/9/eng@2023-12-31
LAW11,Prevention of Organised Crime Act,POCA,No. 6 of 2010,2010,2022,Criminal,Wildlife trafficking networks (applied to illegal wildlife trade),Director of Public Prosecutions; Kenya Police Service; KWS,https://new.kenyalaw.org/akn/ke/act/2010/6/eng@2022-12-31
LAW03,Fisheries Management and Development Act,FMDA,No. 35 of 2016,2016,2022,Fisheries/Marine,Marine mammals; sea turtles; fish species declared endangered by Director-General; marine protected area species,Kenya Fisheries Service (KeFS); Kenya Maritime Authority (KMA),https://new.kenyalaw.org/akn/ke/act/2016/35/eng@2022-12-31
LAW04,Forest Conservation and Management Act,FCMA,No. 34 of 2016,2016,2022,Forestry,Tree species gazetted as protected; forest-dependent flora and fauna,Kenya Forest Service (KFS),https://new.kenyalaw.org/akn/ke/act/2016/34/eng@2022-12-31
LAW10,National Museums and Heritage Act,NMHA,No. 6 of 2006,2006,2022,Heritage,Paleontological specimens; endemic/scientifically significant species,National Museums of Kenya (NMK),https://new.kenyalaw.org/akn/ke/act/2006/6/eng@2022-12-31
LAW09,Kenya Maritime Authority Act,KMAA,No. 5 of 2006,2006,2020,Marine/Maritime,Marine species and ecosystems (indirectly through pollution prevention),Kenya Maritime Authority (KMA),https://new.kenyalaw.org/akn/ke/act/2006/5/eng@2020-12-31
LAW08,Plant Protection Act,PPA,Cap. 324,1937,2022,Plant/Seed,All plant species (especially exotic/alien plants); plant pests; invasive plants,Kenya Plant Health Inspectorate Service (KEPHIS),https://new.kenyalaw.org/akn/ke/act/1937/24/eng@2022-12-31
LAW05,Seeds and Plant Varieties Act,SPVA,Cap. 326,1972,2016,Plant/Seed,All seed species; plant varieties including indigenous plant genetic resources,Kenya Plant Health Inspectorate Service (KEPHIS); Kenya Standing Technical Committee on Imports and Exports,http://kenyalaw.org:8181/exist/kenyalex/actview.xql?actid=CAP.+326
LAW07,CITES Implementation in Kenya,CITES,International Convention,1963,NA,Wildlife,All species listed in CITES Appendix I (trade prohibited/heavily restricted); Appendix II (trade regulated with permits); Appendix III (national protection),Kenya Wildlife Service (KWS) as CITES Management Authority; Kenya Revenue Authority (KRA) at borders/ports,https://cites.org/eng/parties/country-profiles/ke
LAW01,Wildlife Conservation and Management Act,WCMA,No. 47 of 2013,2013,2025,Wildlife,Mammals; birds; reptiles; amphibians; fish; invertebrates; all wildlife species listed in Sixth Schedule and CITES Appendices,Kenya Wildlife Service (KWS),https://new.kenyalaw.org/akn/ke/act/2013/47/eng@2025-11-04
