GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_my,restriction_type,governing_law
3941194,Malaysia,,NATIONAL,,Rafflesia kerrii,Magnoliopsida,species,Rafflesiaceae,Rafflesia (Peninsular),NA,Malaysia endemic Rafflesia; Peninsular Malaysia; flower collapses within days,Rafflesia,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 First Schedule
3941202,Malaysia,,NATIONAL,,Rafflesia keithii,Magnoliopsida,species,Rafflesiaceae,Rafflesia (Sabah),"Rafflesia ciliata, Rafflesia witkampi",Sabah endemic; Cabinet Order 2004; Poring Hot Springs population monitored,Rafflesia,no,,Totally Protected (Sabah WCE 1997),Collection/trade prohibited,Sabah WCE 1997 Schedule 1
3941123,Malaysia,,NATIONAL,,Rafflesia pricei,Magnoliopsida,species,Rafflesiaceae,Rafflesia (Sabah),NA,Sabah endemic; restricted to Crocker Range; Cabinet Order protected,Rafflesia,no,,Totally Protected (Sabah WCE 1997),Collection/trade prohibited,Sabah WCE 1997 Schedule 1
3941103,Malaysia,,NATIONAL,,Rafflesia tengku-adlinii,Magnoliopsida,species,Rafflesiaceae,Rafflesia (Sabah),NA,Discovered 2005; extremely limited range in Sabah highlands,Rafflesia,no,,Totally Protected (Sabah WCE 1997),Collection/trade prohibited,Sabah WCE 1997 Schedule 1
3941238,Malaysia,,NATIONAL,,Rafflesia tuan-mudae,Magnoliopsida,species,Rafflesiaceae,Rafflesia (Sarawak),NA,Sarawak largest-flowered Rafflesia; Gunung Gading NP flagship species,Rafflesia,no,,Totally Protected (Sarawak WLPO 1998),Collection/trade prohibited,Sarawak WLPO 1998 Sched 1
3702163,Malaysia,,NATIONAL,,Nepenthes rajah,Magnoliopsida,species,Nepenthaceae,Rajah pitcher plant,NA,Largest pitcher plant; Sabah Mt Kinabalu endemic; CITES Appendix I,Nepenthes,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
3702128,Malaysia,,NATIONAL,,Nepenthes villosa,Magnoliopsida,species,Nepenthaceae,Kinabalu pitcher plant,NA,Mt Kinabalu cloud forest endemic; upper montane specialist above 2300m,Nepenthes,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
3702034,Malaysia,,NATIONAL,,Nepenthes lowii,Magnoliopsida,species,Nepenthaceae,Lowii pitcher plant,"Nepenthes macfarlanei, Nepenthes maxima lowii",Borneo highland pitcher plant; mutualism with tree shrews,Nepenthes,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / WCA 2010
3702025,Malaysia,,NATIONAL,,Nepenthes macfarlanei,Magnoliopsida,species,Nepenthaceae,Macfarlanei pitcher plant,NA,Peninsular Malaysia endemic; Cameron Highlands and Genting; overcollection threat,Nepenthes,no,,Protected (WCA 2010),Collection permit required,WCA 2010 / CITES
7788578,Malaysia,,NATIONAL,,Nepenthes hookeriana,Magnoliopsida,species,Nepenthaceae,Hookeriana pitcher plant,"Nepenthes hookeri, Nepenthes rafflesiana excelsior, Nepenthes rafflesiana hookeriana, Nepenthes amabilis, Nepenthes amesiana, Nepenthes excelsior, Nepenthes loddigesii",Natural hybrid; peat swamp forests; all Nepenthes CITES II,Nepenthes,no,,Protected (CITES Appendix II),Export permit required,CITES Regs
2825321,Malaysia,,NATIONAL,,Paphiopedilum rothschildianum,Magnoliopsida,species,Orchidaceae,Rothschild's Paphiopedilum,"Cordula rothschildiana, Cypripedium elliottianum, Cypripedium neoguineense, Cypripedium rothschildianum, Paphiopedilum elliottianum, Paphiopedilum rothschildianum, Paphiopedilum rothschildianum elliottianum",Gold of Kinabalu; 1 specimen = thousands USD on black market; CITES I,Paphiopedilum,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
2825664,Malaysia,,NATIONAL,,Paphiopedilum sanderianum,Magnoliopsida,species,Orchidaceae,Sander's Paphiopedilum,"Cordula sanderiana, Cypripedium sanderianum, Paphiopedilum sanderianum",World longest petals (up to 90cm); Sarawak limestone; rediscovered 1978,Paphiopedilum,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
2825415,Malaysia,,NATIONAL,,Paphiopedilum hookerae,Magnoliopsida,species,Orchidaceae,Hooker's Paphiopedilum,"Cordula hookerae, Cypripedium hookerae, Paphiopedilum hookerae, Paphiopedilum volonteanum",Borneo endemic; limestone forest specialist; all Paphiopedilum CITES I,Paphiopedilum,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
2825644,Malaysia,,NATIONAL,,Paphiopedilum lowii,Magnoliopsida,species,Orchidaceae,Low's Paphiopedilum,"Cordula lowii, Cypripedium lowii, Paphiopedilum lowii",Peninsular Malaysia and Borneo; epiphytic slipper orchid; highly traded,Paphiopedilum,no,,Totally Protected (WCA 2010),Collection/trade prohibited,WCA 2010 / CITES
5316744,Malaysia,,NATIONAL,,Dendrobium crumenatum,Magnoliopsida,species,Orchidaceae,"Orchid, dove orchid, pigeon orchid","Aerides matutina, Aporum crumenatum, Aporum kwashotense, Callista crumenata, Ceraia parviflora, Ceraia saaronica, Ceraia simplicissima, Dendrobium caninum, Dendrobium ceraia, Dendrobium crumenatum parviflora, Dendrobium crumenatum parviflorum, Dendrobium kwashotense, Dendrobium papilioniferum ephemerum, Dendrobium schmidtianum, Dendrobium simplicissimum, Epidendrum caninum, Epidendrum ceraia, Epidendrum matutinum, Epidendrum saaronicum, Onychium crumenatum",Common epiphyte; mass-flowering after temperature drops; all orchids CITES II,Dendrobium,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / WCA 2010
2821296,Malaysia,,NATIONAL,,Grammatophyllum speciosum,Magnoliopsida,species,Orchidaceae,Tiger orchid,"Grammatophyllum fastuosum, Grammatophyllum giganteum, Grammatophyllum macranthum, Grammatophyllum sanderianum, Pattonia macrantha",World largest orchid; clumps up to 2 tonnes; lowland forests declining,Grammatophyllum,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / WCA 2010
2843737,Malaysia,,NATIONAL,,Bulbophyllum lobbii,Magnoliopsida,species,Orchidaceae,Bulbophyllum,"Bulbophyllum lobbii siamense, Bulbophyllum siamense, Phyllorchis lobbii, Phyllorkis lobbii, Sarcobodium lobbii, Sarcopodium lobbii",Largest orchid genus; Malaysia major source of traded orchids,Bulbophyllum,no,,Protected (CITES Appendix II),Collection permit required,CITES Regs / WCA 2010
