GBIFusageKey,prefName,family,englishName,synonyms,legal_status_na,restriction_type,governing_law
5275521,Welwitschia mirabilis,Welwitschiaceae,Welwitschia,"Tumboa bainesii, Welwitschia bainesii, Welwitschia mirabilis mirabilis, Welwitschia mirabilis namibiana, Welwitschia namibiana",Strictly Protected (Forest Act GN 170/2015 / CITES App. II),Collection/removal prohibited,Forest Act No. 12/2001 / CITES
9485745,Aloidendron dichotomum,Asphodelaceae,"Quiver Tree, quiver tree","Aloe dichotoma, Aloe dichotoma montana, Aloe montana, Aloe ramosa, Rhipidodendrum dichotomum",Protected (Forest Act GN 170/2015 / CITES App. II),Collection/trade regulated,Forest Act No. 12/2001 / CITES
2777170,Aloidendron pillansii,Asphodelaceae,"Pillans' aloe, bastard quiver tree, giant quiver tree",NA,Protected (Forest Act GN 170/2015 / CITES App. II),Collection/trade regulated,Forest Act No. 12/2001 / CITES
7956185,Hoodia gordonii,Apocynaceae,Hoodia,NA,Protected (Forest Act GN 170/2015 / CITES App. II),Harvest/export regulated,Forest Act No. 12/2001 / CITES
8327014,Acanthosicyos horridus,Cucurbitaceae,butterpips,NA,Protected (Forest Act GN 170/2015),Harvesting regulated,Forest Act No. 12/2001
3875567,Ziziphus mucronata,Rhamnaceae,Buffalo thorn,"Ziziphus abyssinica, Zizyphus mucronata",Protected (Forest Act GN 170/2015),Felling regulated,Forest Act No. 12/2001
3141279,Tarchonanthus camphoratus,Asteraceae,camphorwood,"Tarchonanthus abyssinicus, Tarchonanthus camphoratus litakunensis, Tarchonanthus camphoratus camphoratus, Tarchonanthus litakunensis, Tarchonanthus procerus",Protected (Forest Act GN 170/2015),Harvest regulated,Forest Act No. 12/2001
5358457,Prosopis glandulosa,Fabaceae,honey mesquite,"Algarobia glandulosa, Dasiogyna glandulosa, Neltuma glandulosa, Prosopis chilensis glandulosa, Prosopis juliflora glandulosa",Invasive <U+2014> Category 1b (aligned with SA NEMBA),Compulsory control,Nature Conservation Ordinance / MET policy
5384064,Opuntia ficus-indica,Cactaceae,"Barbary fig, Barbary-fig, Indian fig, Indian-Fig, Indian-fig, Indian-fig prickly-pear, Prickly pear, Sweet Pickle, mission cactus, mission prickly-pear, prickly-pear, smooth mountain prickly-pear, smooth prickly-pear, spineless cactus, sweet prickly-pear, tuberous prickly-pear","Cactus chinensis, Cactus decumanus, Cactus ficus, Cactus ficus-indica, Cactus opuntia, Cactus opuntia ficus-indica, Cactus opuntia latifolius, Opuntia apurimacensis, Opuntia arcei, Opuntia castillae, Opuntia chinensis, Opuntia cordobensis, Opuntia cordodensis, Opuntia ficus-indica reticulata, Opuntia ficus-indica elongata, Opuntia ficus-indica saboten, Opuntia fusicaulis, Opuntia glaucophylla laevior, Opuntia incarnadilla, Opuntia joconostle, Opuntia labouretiana, Opuntia leiascheinvariana, Opuntia leucostata, Opuntia leucosticta, Opuntia maxima, Opuntia megacantha, Opuntia megacantha tenuispina, Opuntia mexicana, Opuntia obovata, Opuntia opuntia, Opuntia paraguayensis, Opuntia robusta megacantha, Opuntia tribuloides, Opuntia tuna-blanca, Opuntia undosa, Opuntia undulata, Platyopuntia apurimacensis, Platyopuntia cordobensis, Platyopuntia ficus-indica",Invasive <U+2014> control required,Control measures active,MET policy
2778219,Aloe marlothii,Asphodelaceae,"Flat-flowered Aloe, Mountain Aloe, Transvaal aloe, flat-flowered aloe, mountain aloe, tree aloe",NA,Protected (CITES App. II),Collection/trade regulated,CITES / Forest Act
