GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_pe,restriction_type,governing_law
2901250,Peru,,NATIONAL,,Cinchona officinalis,Magnoliopsida,species,Rubiaceae,"Lojabark, Quinine, quinine","Cascarilla officinalis, Cinchona academica, Cinchona chahuarguera, Cinchona chahuraguera, Cinchona coccinea, Cinchona colorata, Cinchona condaminea, Cinchona condaminea chahuarguera, Cinchona condaminea chahuraguera, Cinchona condaminea lanceolata, Cinchona condaminea vera, Cinchona crispa, Cinchona cucumifolia, Cinchona lancifolia lanceolata, Cinchona legitima, Cinchona lucumifolia stupea, Cinchona macrocalyx obtusifolia, Cinchona macrocalyx uritusinga, Cinchona obtusifolia, Cinchona officinalis bonplandianacolorata, Cinchona officinalis bonplandianalutea, Cinchona officinalis condaminea, Cinchona officinalis crispa, Cinchona officinalis uritusinga, Cinchona officinalis vera, Cinchona palton, Cinchona peruviana, Cinchona stupea, Cinchona subcordata, Cinchona suberosa, Cinchona uritusinga, Cinchona vritusino, Hindsia subandina, Myroxylon trialatum, Quinquina officinalis, Quinquina palton","Peru national tree; Andean cloud forest 1,500<U+2013>2,700 m; bark source of quinine; severely over-harvested since colonial era",Cinchona,no,,CR (DS 043-2006-AG) <U+2014> National Tree,Collection prohibited,DS 043-2006-AG / CITES
7282621,Peru,,NATIONAL,,Neoraimondia arequipensis,Magnoliopsida,species,Cactaceae,big-bed-of-straw,NA,Columnar cactus endemic to southern Peru; Arequipa dry valleys; habitat destroyed by mining and urban expansion,Neoraimondia,no,,CR (DS 043-2006-AG),Collection prohibited,DS 043-2006-AG / CITES
3659882,Peru,,NATIONAL,,Loxopterygium huasango,Magnoliopsida,species,Anacardiaceae,Hualtaco,Loxopterygium huasango,"Dry forest hardwood; Tumbes-Piura ecoregion; illegal logging for charcoal; fewer than 2,500 mature trees estimated",Loxopterygium,no,,CR (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG / Ley Forestal
5602265,Peru,,NATIONAL,,Colicodendron scabridum,Magnoliopsida,species,Capparaceae,Zapote,NA,Dry forest tree; northern coastal deserts Tumbes-Piura; critical for ecosystem; severe deforestation pressure,Colicodendron,no,,CR (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG
2696328,Peru,,NATIONAL,,Puya raimondii,Liliopsida,species,Bromeliaceae,"Queen of the Andes, Queen of the Puna",Pourretia gigantea,"World's largest bromeliad; 80<U+2013>100-yr flowering cycle; Andean puna 3,800<U+2013>4,200 m; fewer than 300 viable populations; grazing and fire threats",Puya,no,,EN (DS 043-2006-AG),Collection prohibited,DS 043-2006-AG
5370613,Peru,,NATIONAL,,Polylepis racemosa,Magnoliopsida,species,Rosaceae,Que<U+00F1>oa / Polylepis,"Polylepis incana icosandra, Polylepis incana micranthera, Polylepis incana connectens, Polylepis incana primovestita, Polylepis villosa, Quinasis villosa","World's highest-altitude forest tree; Andean puna 3,500<U+2013>5,000 m; fragmented relict populations; firewood extraction and overgrazing",Polylepis,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG
5370633,Peru,,NATIONAL,,Polylepis incana,Magnoliopsida,species,Rosaceae,Polylepis incana,Polylepis incana villosistyla,High-altitude Polylepis forest; northern Andes Ancash-Junin; habitat fragmentation; critical watershed protection role,Polylepis,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG
5370560,Peru,,NATIONAL,,Polylepis tomentella,Magnoliopsida,species,Rosaceae,Polylepis tomentella,"Polylepis tomentella, Polylepis tomentella dentatialata, Polylepis tomentella pentaphylla, Polylepis tomentella tetragona, Polylepis tomentella pilosior",Southern puna Polylepis forests; Arequipa-Puno; highly fragmented; important habitat for endemic birds,Polylepis,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG
5286006,Peru,,NATIONAL,,Podocarpus oleifolius,Pinopsida,species,Podocarpaceae,olive-leaf podoberry,"Nageia macrostachya, Nageia oleifolia, Podocarpus ballivianensis, Podocarpus ingensis, Podocarpus macrostachys, Podocarpus macrostachyus, Podocarpus monteverdeensis, Podocarpus oleifolius columbianus, Podocarpus oleifolius costaricensis, Podocarpus oleifolius equadorensis, Podocarpus oleifolius trujillensis, Podocarpus oleifolius macrostachys, Podocarpus oleifolius macrostachyus","Only native Peruvian conifer genus; montane cloud forests 2,000<U+2013>3,500 m; slow-growing; timber over-extraction",Podocarpus,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG / Ley Forestal
5286054,Peru,,NATIONAL,,Podocarpus glomeratus,Pinopsida,species,Podocarpaceae,Podocarpus glomeratus,"Nageia glomerata, Podocarpus cardenasii, Podocarpus glomeratus cardenasii, Podocarpus rigidus",Cloud forest conifer; Cusco-Puno yungas; populations fragmented; important for watershed regulation,Podocarpus,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG / Ley Forestal
