GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ph,restriction_type,governing_law
10905644,Philippines,,NATIONAL,,Tectona philippinensis,Magnoliopsida,species,Lamiaceae,Philippine Teak,Jatus philippinensis,Philippine endemic; Batangas and Mindoro; <500 mature trees,Tectona,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2782265,Philippines,,NATIONAL,,Vanda sanderiana,Magnoliopsida,species,Orchidaceae,Waling-waling orchid,"Esmeralda sanderiana, Euanthe sanderiana, Euanthe sanderiana albata, Euanthe sanderiana immaculata, Vanda sanderiana albata, Vanda sanderiana froebeliana, Vanda sanderiana immaculata, Vanda sanderiana labelloviridis",Queen of Philippine orchids; Mindanao; heavily collected,Vanda,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3941166,Philippines,,NATIONAL,,Rafflesia manillana,Magnoliopsida,species,Rafflesiaceae,Philippine rafflesia,Rafflesia cumingii,Parasitic plant; Luzon; habitat loss primary threat,Rafflesia,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3941108,Philippines,,NATIONAL,,Rafflesia speciosa,Magnoliopsida,species,Rafflesiaceae,Rafflesia,NA,Panay endemic; world's largest flowers; critically threatened,Rafflesia,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3941113,Philippines,,NATIONAL,,Rafflesia schadenbergiana,Magnoliopsida,species,Rafflesiaceae,Schadenberg's rafflesia,Rafflesia schadenbergiana,Mindanao endemic; among the largest Rafflesia species; fewer than 50 known individuals,Rafflesia,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2825386,Philippines,,NATIONAL,,Paphiopedilum adductum,Magnoliopsida,species,Orchidaceae,Philippine slipper orchid,"Paphiopedilum adductum cynthiae, Paphiopedilum adductum anitum, Paphiopedilum anitum",Mindanao endemic slipper orchid; all Paphiopedilum Appendix I,Paphiopedilum,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2825541,Philippines,,NATIONAL,,Paphiopedilum urbanianum,Magnoliopsida,species,Orchidaceae,Urban's Paphiopedilum,Paphiopedilum urbanianum alboviride,Philippine endemic; Mindanao slipper orchid,Paphiopedilum,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2825321,Philippines,,NATIONAL,,Paphiopedilum rothschildianum,Magnoliopsida,species,Orchidaceae,Rothschild's Paphiopedilum,"Cordula rothschildiana, Cypripedium elliottianum, Cypripedium neoguineense, Cypripedium rothschildianum, Paphiopedilum elliottianum, Paphiopedilum rothschildianum, Paphiopedilum rothschildianum elliottianum",Mt Kinabalu origin but cultivated in PH collections; all Paphiopedilum CITES I,Paphiopedilum,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3702054,Philippines,,NATIONAL,,Nepenthes attenboroughii,Magnoliopsida,species,Nepenthaceae,Attenborough's Pitcher Plant,NA,Palawan Mt Victoria; discovered 2007; immediate poaching post-discovery,Nepenthes,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3702138,Philippines,,NATIONAL,,Nepenthes deaniana,Magnoliopsida,species,Nepenthaceae,Apo pitcher plant,NA,Mt Apo endemic; montane forest above 1500 m; PAMB collection ban,Nepenthes,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2683238,Philippines,,NATIONAL,,Cycas edentata,Cycadopsida,species,Cycadaceae,Pitogo palm,"Cycas circinalis maritima, Cycas litoralis",Philippine cycad; all Cycas spp. CITES listed,Cycas,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
3594915,Philippines,,NATIONAL,,Cycas zambalensis,Cycadopsida,species,Cycadaceae,Zamboanga cycad,NA,Zambales province endemic cycad; limestone forests; very restricted range,Cycas,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2981499,Philippines,,NATIONAL,,Strongylodon macrobotrys,Magnoliopsida,species,Fabaceae,jadevine,"Strongylodon megaphyllus, Strongylodon warburgii",Luzon endemic; spectacular turquoise flower; deforestation threat,Strongylodon,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
4073240,Philippines,,NATIONAL,,Camptostemon philippinensis,Magnoliopsida,species,Malvaceae,Philippine mangrove,NA,Rare mangrove species; Palawan and Sulu Sea coasts; habitat conversion,Camptostemon,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
2685081,Philippines,,NATIONAL,,Agathis dammara,Pinopsida,species,Araucariaceae,Almaciga / Manila copal,NA,Source of Manila copal resin; old-growth forests Luzon-Mindanao,Agathis,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
