GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_sg,restriction_type,governing_law
4020051,Singapore,,NATIONAL,,Cyrtophyllum fragrans,Magnoliopsida,species,Gentianaceae,ironwood,NA,"Featured on Singapore $5 note; iconic national tree; multiple Heritage Tree specimens; fine up to SGD 50,000 for damage",Cyrtophyllum,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
7370452,Singapore,,NATIONAL,,Syzygium grande,Magnoliopsida,species,Myrtaceae,Sea apple / Jambu ayer laut,"Eugenia cymosa, Eugenia grandis, Eugenia laosensis, Eugenia laosensis quocensis, Eugenia montana, Jambosa firma, Jambosa grandis, Syzygium firmum, Syzygium gadgilii, Syzygium grande, Syzygium grande parviflorum, Syzygium laosense, Syzygium laosense quocense, Syzygium megalophyllum, Syzygium montanum, Syzygium tamilnadensis",Coastal heritage tree; important in Singapore's streetscape and park canopies; Heritage Tree programme,Syzygium,no,,Heritage Tree / Parks and Trees Act 2005,Protected from removal,Parks and Trees Act 2005 (Cap.216)
2972960,Singapore,,NATIONAL,,Samanea saman,Magnoliopsida,species,Fabaceae,"French-tamarind, Rain tree, Saman, Monkey pod, Cow tamarind, Giant thibet, Inga saman, East Indian walnut, Soar, Suar, Crow bean tree, False powder puff, French tamarind, Coco tamarind, Raintree, Rendi, cow-tamarind, monkeypod, raintree","Acacia propinqua, Albizia flavovirens, Albizia saman, Albizzia saman, Calliandra saman, Enterolobium saman, Feuilleea saman, Inga cinerea, Inga salutaris, Inga saman, Mimosa pubifera, Mimosa saman, Pithecellobium cinereum, Pithecellobium salutare, Pithecellobium saman, Pithecellobium saman acutifolium, Pithecellobium saman saman, Pithecolobium cinereum, Pithecolobium saman, Zygia saman",Most common Heritage Tree species in Singapore; massive canopy spread; multiple specimens on Heritage Tree Register; iconic roadside tree,Samanea,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
5361919,Singapore,,NATIONAL,,Ficus benghalensis,Magnoliopsida,species,Moraceae,"Bengal banyan, Bengal fig, Bot, East Indian figtree, Indian Banyan, Indian banyan, banyan, banyan fig, banyantree, horn fig","Ficus banyana, Ficus benghalensis benghalensis, Ficus benghalensis krishnae, Ficus chauvieri, Ficus cotoneifolia, Ficus cotonifolia, Ficus crassinervia, Ficus indica, Ficus karet, Ficus lancifolia, Ficus lasiophylla, Ficus procera, Ficus umbrosa, Perula benghalensis, Urostigma bengalense, Urostigma bengalense cordifolium, Urostigma benghalense",Multiple Heritage Tree specimens including iconic trees at Botanic Gardens and Fort Canning; aerial root system culturally significant,Ficus,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
7467639,Singapore,,NATIONAL,,Ficus microcarpa,Magnoliopsida,species,Moraceae,"Chinese Banyan, Chinese banyan, Hill's weeping fig, Indian Laurel, Indian laurel fig, Indian-laurel, Malay banyan, curtain fig, laurel fig, small-fruit fig, Laurel Fig","Ficus aggregata, Ficus amblyphylla, Ficus benjamina, Ficus cairnsii, Ficus condoravia, Ficus dahlii, Ficus dictyophleba, Ficus dilatata, Ficus littoralis, Ficus microcarpa crassifolia, Ficus microcarpa pubescens, Ficus microcarpa latifolia, Ficus microcarpa microcarpa, Ficus microcarpa fuyuensis, Ficus microcarpa naumannii, Ficus microcarpa nitida, Ficus microcarpa oluangpiensis, Ficus microcarpa pusillifolia, Ficus naumannii, Ficus regnans, Ficus retusa, Ficus retusa parvifolia, Ficus retusa pubescens, Ficus retusa crassifolia, Ficus retusa nitida, Ficus retusa pisifera, Ficus retusiformis, Ficus rubra, Ficus rubra acuminata, Ficus rubra amblyphylla, Ficus thynneana, Ficus thynneana minor, Urostigma accedens latifolia, Urostigma amblyphyllum, Urostigma littorale, Urostigma microcarpum, Urostigma pisiferum",Several Heritage Tree specimens; common in Singapore streetscape; important strangling fig with ecological value,Ficus,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
3189394,Singapore,,NATIONAL,,Terminalia catappa,Magnoliopsida,species,Combretaceae,"Alman Tree, Almond, Almond Tree, Beach Almond, India Almond, India almond, Indian almond, Indian-almond, Malabar-almond, Tropical Almond, Tropical almond, country-almond, false kamani","Buceras catappa, Bucida buceras, Juglans catappa, Myrobalanus badamia, Myrobalanus catappa, Myrobalanus commersonii, Myrobalanus rubrigemmis, Myrobalanus terminalia, Phytolacca javanica, Terminalia badamia, Terminalia burmanica, Terminalia catappa chlorocarpa, Terminalia catappa macrocarpa, Terminalia catappa pubescens, Terminalia catappa rhodocarpa, Terminalia catappa subcordata, Terminalia intermedia, Terminalia kydiana, Terminalia latifolia, Terminalia mauritiana, Terminalia moluccana, Terminalia ovatifolia, Terminalia paraensis, Terminalia rubrigemmis, Terminalia subcordata",Beachfront heritage trees; distinctive pagoda-shaped canopy; Heritage Tree specimens at East Coast Park and other coastal areas,Terminalia,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
2951846,Singapore,,NATIONAL,,Adenanthera pavonina,Magnoliopsida,species,Fabaceae,"Circassian-tree, Coral Tree, Red Sandalwood, Red bead tree, Circassian seed, Red Lucky Seed, Red beadtree, beadtree, coral bean tree, coralwood, false jequirity, false red-sandalwood, false wiliwili, red bead tree, red beadtree, red beantree, red sandalwood-tree, red sandlewood, red-sandalwood, sandal beadtree",NA,Red saga seeds culturally important in Singapore; Heritage Tree specimens; formerly used as weights by goldsmiths,Adenanthera,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
5406697,Singapore,,NATIONAL,,Ceiba pentandra,Magnoliopsida,species,Malvaceae,"Silk Cotton Tree, kapok, kapoktree, silk cotton tree, silk cottontree, white silk cottontree, white silk-cotton tree, Kapok, Silkcottontree","Bombax cumanense, Bombax guineense, Bombax guineensis, Bombax inerme, Bombax mompoxense, Bombax occidentale, Bombax orientale, Bombax pentandrum, Bombax plumosum, Ceiba anfractuosa, Ceiba caribaea, Ceiba casearia, Ceiba guineensis, Ceiba guineensis ampla, Ceiba guineensis clausa, Ceiba occidentalis, Ceiba pentandra albolana, Ceiba pentandra grisea, Ceiba pentandra caribaea, Ceiba pentandra clausa, Ceiba pentandra dehiscens, Ceiba pentandra indica, Ceiba thonneri, Ceiba thonningii, Eriodendron anfractuosum, Eriodendron anfractuosum africanum, Eriodendron anfractuosum caribaeum, Eriodendron anfractuosum guianense, Eriodendron anfractuosum indicum, Eriodendron caribaeum, Eriodendron guineense, Eriodendron occidentale, Eriodendron orientale, Eriodendron pentandrum, Gossampinus alba, Gossampinus rumphii, Xylon pentandrum",Heritage Tree specimens in Singapore; massive buttress roots; one of the tallest Heritage Trees in the register,Ceiba,no,,Heritage Tree <U+2014> Parks and Trees Act 2005,Removal/damage prohibited,Parks and Trees Act 2005 (Cap.216)
3169754,Singapore,,NATIONAL,,Dyera costulata,Magnoliopsida,species,Apocynaceae,"hill jelutong, jelutong","Alstonia costulata, Alstonia eximia, Alstonia grandifolia, Dyera laxiflora",Lowland rainforest tree; latex historically used for chewing gum; VU; Bukit Timah NR populations protected,Dyera,no,,Vulnerable (Red Data Book) <U+2014> protected in reserves,Habitat protection,Parks and Trees Act 2005
2733400,Singapore,,NATIONAL,,Livistona saribus,Liliopsida,species,Arecaceae,taraw palm,"? hoogendorpii, Chamaerops cochinchinensis, Corypha saribus, Livistona cochinchinensis, Livistona hasseltii, Livistona hogendorpii, Livistona hoogendorpii, Livistona inaequisecta, Livistona saribus, Livistona spectabilis, Livistona tonkinensis, Livistona vogamii, Rhapis cochinchinensis, Sabal hogendorpii, Sabal hoogendorpii, Saribus cochinchinensis, Saribus hasseltii, Saribus hogendorpii, Saribus hoogendorpii",Previously Livistona chinensis; native fan palm; Bukit Timah and CCNR populations; Singapore Red Data Book VU,Livistona,no,,Vulnerable (Red Data Book) <U+2014> protected in reserves,Collection prohibited,Parks and Trees Act 2005
