GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_sa,restriction_type,governing_law
2683697,South Africa,,NATIONAL,,Encephalartos latifrons,Cycadopsida,species,Zamiaceae,Albany Cycad,Encephalartos horridus latifrons,Most endangered cycad globally; heavily poached; Eastern Cape,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
10096333,South Africa,,NATIONAL,,Encephalartos woodii,Cycadopsida,species,Zamiaceae,Wood's cycad,Encephalartos altensteinii bispinnus,Extinct in wild; only male plants known; clones in botanic gardens,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683831,South Africa,,NATIONAL,,Encephalartos nubimontanus,Cycadopsida,species,Zamiaceae,Blue Cycad,Encephalartos venetus,Drakensberg endemic; <100 plants in wild,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683827,South Africa,,NATIONAL,,Encephalartos princeps,Cycadopsida,species,Zamiaceae,Kei Cycad,NA,Eastern Cape endemic; extreme poaching pressure,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683802,South Africa,,NATIONAL,,Encephalartos hirsutus,Cycadopsida,species,Zamiaceae,Venda Cycad,NA,Limpopo endemic; limited remaining wild population,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683774,South Africa,,NATIONAL,,Encephalartos dyerianus,Cycadopsida,species,Zamiaceae,"Lillie Cycad, Lowveld Cycad",Encephalartos graniticola,Limpopo; very few in wild outside cultivation,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683793,South Africa,,NATIONAL,,Encephalartos cerinus,Cycadopsida,species,Zamiaceae,Waxen Cycad,NA,Limpopo; fewer than 60 plants known,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683758,South Africa,,NATIONAL,,Encephalartos inopinus,Cycadopsida,species,Zamiaceae,Lydenburg Cycad,NA,Limpopo; <200 plants; restricted rocky habitat,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683677,South Africa,,NATIONAL,,Encephalartos dolomiticus,Cycadopsida,species,Zamiaceae,Wolkberg Cycad,Encephalartos verrucosus,Wolkberg dolomite cliffs; very few plants; climbing poachers,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683755,South Africa,,NATIONAL,,Encephalartos brevifoliolatus,Cycadopsida,species,Zamiaceae,Escarpment Cycad,NA,Extinct in wild (poached); Barberton; only garden specimens survive,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683721,South Africa,,NATIONAL,,Encephalartos heenanii,Cycadopsida,species,Zamiaceae,"Heenan's Cycad, Woolly Cycad",NA,Mpumalanga escarpment; <100 wild individuals,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
9848396,South Africa,,NATIONAL,,Encephalartos middelburgensis,Cycadopsida,species,Zamiaceae,Middelburg Cycad,Encephalartos eugene-maraisii middelburgensis,Mpumalanga grassland endemic; severely poached,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683753,South Africa,,NATIONAL,,Encephalartos cupidus,Cycadopsida,species,Zamiaceae,Blyde River Cycad,NA,Limpopo; <300 individuals; cliff habitat,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683824,South Africa,,NATIONAL,,Encephalartos laevifolius,Cycadopsida,species,Zamiaceae,Kaapsehoop Cycad,NA,Mpumalanga/Limpopo; grassland; population plummeted from poaching,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683776,South Africa,,NATIONAL,,Encephalartos transvenosus,Cycadopsida,species,Zamiaceae,Modjadji Cycad,NA,"Modjadji Cycad Reserve, Limpopo; iconic Rain Queen forests",Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
