common_name,scientific_name,taxonomic_group,legal_status_kenya,restriction_type,governing_law_names,notes
Purple tea mite,Calacarus carinatus,Arachnida,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes purple coloration and defoliation of tea bushes; major threat to Kenya's tea industry.
Tomato russet mite,Aculops lycopersici,Arachnida,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Eriophyid mite causing bronzing and crop loss in tomato and solanaceous crops.
Fischer's lovebird (invasive populations),Agapornis fischeri,Aves,Invasive outside native range; CITES-regulated trade,Prohibited introduction; invasive alien species; CITES-regulated trade,EMCA 1999; CITES,Native to Tanzania; feral populations established in Kenya from escaped captives. Hybridises with native A. personatus.
House sparrow,Passer domesticus,Aves,Invasive alien species; monitored,Prohibited introduction; invasive alien species,EMCA 1999,Introduced to East Africa; competes with native seed-eating birds.
Indian house crow,Corvus splendens,Aves,Prohibited; eradication programmes active,Prohibited introduction; invasive alien species,EMCA 1999; WCMA 2013,Arrived Mombasa via shipping 1940s; aggressive invasive displacing native birds. Active eradication at coast.
African citrus greening bacterium,Candidatus Liberibacter africanus,Bacteria,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes Huanglongbing (greening disease) in citrus; transmitted by citrus psyllid Trioza erytreae.
Crown gall bacterium,Agrobacterium tumefaciens,Bacteria,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes crown gall disease in over 600 plant species; soil-borne bacterium.
Black Sigatoka fungus,Pseudocercospora fijiensis,Fungi,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Most destructive banana leaf disease; causes up to 50% yield loss. Arrived Kenya 1990s.
Citrus fruit and leaf spot fungus,Pseudocercospora angolensis,Fungi,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes premature fruit drop in citrus; major production constraint in East Africa.
Coffee berry disease fungus,Colletotrichum kahawae,Fungi,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Kenya-specific strain causes major losses in arabica coffee; up to 80% crop loss without fungicide.
Napier grass smut fungus,Ustilago kamerunensis,Fungi,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,"Destroys Napier grass (Pennisetum purpureum), the most important livestock fodder in Kenya."
Panama disease fungus,Fusarium oxysporum f. sp. cubense,Fungi,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes banana wilt; Tropical Race 4 (TR4) is a major global threat; quarantine pest in Kenya.
Giant African land snail,Achatina fulica,Gastropoda,Introduction prohibited,Prohibited introduction,EMCA 1999; Plant Protection Act Cap.324,Agricultural pest. On Kenya phytosanitary prohibited import list.
Cassava mealybug,Phenacoccus manihoti,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Devastated cassava production across Africa; biological control with Anagyrus lopezi partially successful.
Citrus woolly whitefly,Aleurothrixus floccosus,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Major pest of citrus; controlled biologically with Cales noacki parasitoid.
