GBIFusageKey,prefName,family,englishName,synonyms,legal_status_lk,restriction_type,governing_law
3778319,Strobilanthes sessilis,Acanthaceae,Nelu,"Pleocaulus sessilioides, Pleocaulus sessilis, Pleocaulus sessilis sessilioides, Pleocaulus sessilis tornensis, Strobilanthes sessilioides",Protected (FFPO Schedule V),Collection prohibited,FFPO Cap. 469 Schedule V
2853722,Crinum zeylanicum,Amaryllidaceae,"Ceylon Swamplily, Ceylon swamplily, milk-and-wine-lily","Amaryllis broussonetii, Amaryllis ornata, Amaryllis zeylanica, Crinum latifolium zeylanicum, Crinum ornatum zeylanicum, Taenais zeylanica",Protected (FFPO Schedule V),Collection prohibited,FFPO Cap. 469 Schedule V
7326947,Nymphaea nouchali,Nymphaeaceae,"Sada shapla, blue lotus, Blue Lotus","Castalia acutiloba, Castalia stellaris, Castalia stellata, Castalia versicolor, Leuconymphaea sansebariensis, Leuconymphaea stellata, Nymphaea acutifolia, Nymphaea acutiloba, Nymphaea ampla, Nymphaea bernierana, Nymphaea caerulea, Nymphaea cahlara, Nymphaea cyanea, Nymphaea henkeliana, Nymphaea hookeriana, Nymphaea malabarica, Nymphaea manipurensis, Nymphaea manipurensis versicolor, Nymphaea membranacea, Nymphaea minima, Nymphaea nouchali cyanea, Nymphaea nouchali versicolor, Nymphaea pandiflora, Nymphaea punctata, Nymphaea rhodantha, Nymphaea richardiana, Nymphaea semisterilis, Nymphaea stellata, Nymphaea stellata albiflora, Nymphaea stellata cyanea, Nymphaea stellata parviflora, Nymphaea stellata versicolor, Nymphaea sumatrana, Nymphaea tetragona acutiloba, Nymphaea versicolor, Nymphaea voalefoka",Protected (FFPO Schedule V),Collection prohibited,FFPO Cap. 469 Schedule V
8377988,Jasminum angustifolium,Oleaceae,Wild jasmine,Nyctanthes angustifolia,Protected (FFPO Schedule V),Collection prohibited,FFPO Cap. 469 Schedule V
3568475,Gyrinops walla,Thymelaeaceae,Agarwood,Aquilaria walla,Protected (FFPO Schedule V / CITES App. II),Collection/trade prohibited,FFPO Cap. 469 / CITES
3032979,Diospyros ebenum,Ebenaceae,"Ebony, ebony, Indian Ebony","Diospyros assimilis, Diospyros glaberrima, Diospyros laurifolia, Diospyros melanoxylon, Diospyros membranacea, Diospyros reticulata timoriana, Diospyros timoriana",Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
7330039,Mesua ferrea,Calophyllaceae,"Indian Rose Chestnut, mesua","Calophyllum nagassarium, Mesua coromandelina, Mesua ferrea salicina, Mesua nagana, Mesua nagassarium, Mesua nagassarium sclerophylla, Mesua nagassarium coramandeliana, Mesua nagassarium salicina, Mesua pedunculata, Mesua roxburghii, Mesua salicina, Mesua sclerophylla, Mesua speciosa, Mesua walkeriana",Protected forest species,Felling regulated,Forest Ordinance No. 16/1907
5593556,Chloroxylon swietenia,Rutaceae,"East Indian satinwood, East Indian Satinwood","Chloroxylon chloroxylon, Swietenia chloroxylon",Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
2971014,Dialium ovoideum,Fabaceae,Velvet tamarind,NA,Protected timber (Forest Ordinance),Felling regulated,Forest Ordinance No. 16/1907
2940394,Pericopsis mooniana,Fabaceae,"Nandu Wood, Nedun Tree","Dalbergia lanceolaria, Dalbergia mooniana, Derris ponapensis, Ormosia villamilii, Pericopsis ponapensis",Protected timber (Forest Ordinance / CITES),Felling/trade regulated,Forest Ordinance No. 16/1907 / CITES
