GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_tz,restriction_type,governing_law
2968897,Tanzania,,NATIONAL,,Dalbergia melanoxylon,Magnoliopsida,species,Fabaceae,"African Ebony, African blackwood, African-ebony, Chinese blackwood, Mozambique Ebony, Mozambique-ebony, Senaar-ebony, Senegal-ebony, Sudan-ebony, african-blackwood, poyi, African Blackwood","Amerimnon melanoxylon, Amerimnon stocksii, Dalbergia stocksii",Iconic Tanzanian timber; CITES Appendix II since 2017; global instrument-making,Dalbergia,no,,Protected Timber Species,Export quota / permit req.,Forests Act 2002 / CITES
2968896,Tanzania,,NATIONAL,,Dalbergia nitidula,Magnoliopsida,species,Fabaceae,East African rosewood,"Amerimnon nitidulum, Dalbergia dekindtiana, Dalbergia luluensis, Dalbergia medicinalis, Dalbergia nitidula, Dalbergia swynnertonii, Pterocarpus elisabethvillensis",All Dalbergia spp. CITES App II since 2017; traded as rosewood,Dalbergia,no,,Protected Timber Species,Export permit required,Forests Act 2002 / CITES
7473922,Tanzania,,NATIONAL,,Osyris lanceolata,Magnoliopsida,species,Santalaceae,East African sandalwood,"Osyris arborea, Osyris arborea puberula, Osyris arborea rotundifolia, Osyris arborea stipitata, Osyris nepalensis, Osyris wightiana, Osyris wightiana puberula, Osyris wightiana rotundifolia, Osyris wightiana stipitata",Total export ban due to severe over-exploitation across East Africa,Osyris,no,,Export Banned (TZ Govt Order),Harvesting/export prohibited,Ministerial Order (2004)
4181253,Tanzania,,NATIONAL,,Kuloa usambarensis,Magnoliopsida,species,Lauraceae,African camphor,NA,Usambara Mountains; prized timber; declining due to illegal logging,Kuloa,no,,Vulnerable <U+2014> Forests Act Protected,Harvest restricted,Forests Act 2002
2952670,Tanzania,,NATIONAL,,Brachystegia spiciformis,Magnoliopsida,species,Fabaceae,"zebrawood, Zebrawood","Brachystegia bragaei, Brachystegia edulis, Brachystegia euryphylla, Brachystegia hockii, Brachystegia hockii papyracea, Brachystegia hockii piloso-pedicellata, Brachystegia hockii pilosopedicellata, Brachystegia itoliensis, Brachystegia mpalensis, Brachystegia mpalensis latifoliolata, Brachystegia oliveri, Brachystegia randii, Brachystegia spiciformis glandiflora, Brachystegia spiciformis kwangensis, Brachystegia spiciformis latifoliolata, Brachystegia spiciformis mpalensis, Brachystegia spiciformis parviflora, Brachystegia spiciformis schmitzii, Brachystegia taubertiana, Brachystegia trijuga, Brachystegia venosa",Dominant miombo woodland tree; charcoal production major threat,Brachystegia,no,,Protected Forest Species,Charcoal/harvest restricted,Forests Act 2002
2952649,Tanzania,,NATIONAL,,Brachystegia longifolia,Magnoliopsida,species,Fabaceae,Brachystegia (mwanga),"Brachystegia apertifolia, Brachystegia falcatoappendiculata, Brachystegia goetzei, Brachystegia holtzii, Brachystegia homblei, Brachystegia longifolia parviflora",Dry miombo woodland; timber and charcoal; restricted harvest,Brachystegia,no,,Protected Forest Species,Harvest regulated,Forests Act 2002
2981760,Tanzania,,NATIONAL,,Julbernardia globiflora,Magnoliopsida,species,Fabaceae,Julbernardia (msani),"Berlinia eminii, Berlinia globiflora, Brachystegia globiflora, Isoberlinia globiflora, Julbernardia globifera, Pseudoberlinia globiflora, Westia eminii",Key miombo canopy species; heavily harvested for charcoal and poles,Julbernardia,no,,Protected Forest Species,Harvest regulated,Forests Act 2002
3852095,Tanzania,,NATIONAL,,Khaya anthotheca,Magnoliopsida,species,Meliaceae,"East African Mahogany, Nyasaland mahogany, White Mahogany, white-mahogany","Azedarach elegans, Garretia anthoteca, Khaya wildemanii, Melia elegans",High-value timber; heavily logged; populations declining across range,Khaya,no,,Protected Timber Species,Harvest restricted / permit,Forests Act 2002
2684500,Tanzania,,NATIONAL,,Juniperus procera,Pinopsida,species,Cupressaceae,"African Pencil Cedar, African juniper, African pencil-cedar, East African Cedar, East African juniper, East African-cedar, Kenya-cedar, african-juniper, African Juniper","Juniperus abyssinica, Juniperus hochstetteri, Juniperus procera, Sabina procera",Montane forest species; Mt Kilimanjaro and Southern Highlands; slow-growing,Juniperus,no,,Protected Forest Species,Harvest restricted,Forests Act 2002
3763589,Tanzania,,NATIONAL,,Milicia excelsa,Magnoliopsida,species,Moraceae,"African Teak, African-teak, counterwood, iroko, mvule, rock-elm, Iroko","Chlorophora alba, Chlorophora excelsa, Chlorophora tenuifolia, Maclura excelsa, Milicia africana, Morus excelsa",Premier timber tree of East Africa; heavily exploited; restricted felling,Milicia,no,,Protected Timber Species,Harvest permit required,Forests Act 2002
5349240,Tanzania,,NATIONAL,,Pterocarpus angolensis,Magnoliopsida,species,Fabaceae,"Bloodwood Tree, Mukwa, Transvaal-teak, bleedwoodtree, bloodwood, kiaat, muninga","Pterocarpus bussei, Pterocarpus dekindtianus, Pterocarpus dekindtianus latifoliolatus",High-value timber; slow growth; log export ban in effect,Pterocarpus,no,,Protected Timber Species,Harvest/export restricted,Forests Act 2002
5349274,Tanzania,,NATIONAL,,Pterocarpus tinctorius,Magnoliopsida,species,Fabaceae,Mninga / ambila,"Lingoum tinctorium, Pterocarpus cabrae, Pterocarpus delevoyi, Pterocarpus odoratus",Miombo woodland timber; used for furniture; regulated under Forests Act,Pterocarpus,no,,Protected Timber Species,Harvest regulated,Forests Act 2002
2687628,Tanzania,,NATIONAL,,Afrocarpus gracilior,Pinopsida,species,Podocarpaceae,"African fern-pine, East African yellowwood, East African Yellowwood","Afrocarpus falcatus gracilior, Afrocarpus gracilior, Decussocarpus gracilior, Nageia falcata gracilior, Podocarpus gracilior",Montane forest conifer; Eastern Arc and Southern Highlands; timber valued,Afrocarpus,no,,Protected Forest Species,Harvest restricted,Forests Act 2002
7475694,Tanzania,,NATIONAL,,Olea capensis,Magnoliopsida,species,Oleaceae,"False Ironwood, Small Ironwood, black ironwood, Black Ironwood",Olea cassinifolia,Eastern Arc montane forests; important canopy species; timber and poles,Olea,no,,Protected Forest Species,Harvest regulated,Forests Act 2002
3086527,Tanzania,,NATIONAL,,Rhizophora mucronata,Magnoliopsida,species,Rhizophoraceae,"Asiatic Mangrove, Mangrove, True Mangrove, loop-root mangrove, mangrove, red mangrove, Loop-root Mangrove, Red Mangrove","Mangium candelarium, Rhizophora candelaria, Rhizophora latifolia, Rhizophora longissima, Rhizophora macrorrhiza, Rhizophora mangle, Rhizophora mucronata reducta, Rhizophora mucronata alokii, Rhizophora rugens",Mangrove forests protected under Forests Act; pole harvest regulated by TFS,Rhizophora,no,,Protected Forest Species,Harvest permit required,Forests Act 2002
4117581,Tanzania,,NATIONAL,,Oldeania alpina,Liliopsida,species,Poaceae,Highland bamboo,NA,Southern Highlands and Kilimanjaro; regulated harvest for construction,Oldeania,no,,Protected Forest Species,Harvest permit required,Forests Act 2002
6365236,Tanzania,,NATIONAL,,Streptocarpus ionanthus,Magnoliopsida,species,Gesneriaceae,"African-violet, Usambara-violet",NA,African violet; wild ancestor of popular ornamental; East Usambara endemic,Streptocarpus,no,,Critically Endangered (WCA 2009),Collection/trade prohibited,Wildlife Conservation Act 2009
3819843,Tanzania,,NATIONAL,,Streptocarpus ionanthus,Magnoliopsida,species,Gesneriaceae,African violet (Nguru),NA,Nguru Mountains endemic Saintpaulia; extremely restricted range,Streptocarpus,no,,Endangered <U+2014> habitat loss,Collection prohibited,Wildlife Conservation Act 2009
3819864,Tanzania,,NATIONAL,,Streptocarpus goetzeanus,Magnoliopsida,species,Gesneriaceae,Saintpaulia (Uluguru),NA,Uluguru Mountains endemic; forest habitat declining; global ornamental trade ancestor,Streptocarpus,no,,Endangered <U+2014> Eastern Arc endemic,Collection prohibited,Wildlife Conservation Act 2009
