GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_th,restriction_type,governing_law
2968506,Thailand,,NATIONAL,,Dalbergia cochinchinensis,Magnoliopsida,species,Fabaceae,"Rose Wood, Siamese Rosewood, Thailand Rosewood, Tracwood","Amerimnon cambodianum, Amerimnon cochinchinense, Amerimnon fuscum, Dalbergia cambodiana, Dalbergia cochinchinenis, Dalbergia cochinchinensis, Dalbergia fusca enneandra",Phayung; most trafficked timber species globally; >90% population decline; Mekong region endemic; primary target of rosewood syndicates,Dalbergia,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. II,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
2968432,Thailand,,NATIONAL,,Dalbergia oliveri,Magnoliopsida,species,Fabaceae,Burmese Rosewood,"Amerimnon bariense, Amerimnon dongnaiense, Amerimnon duperreanum, Amerimnon mammosum, Dalbergia bariensis, Dalbergia dongnaiensis, Dalbergia duperreana, Dalbergia laccifera, Dalbergia mammosa, Dalbergia oliveri",Chingchan; major rosewood timber alongside D. cochinchinensis; heavy illegal logging in Isan and border provinces,Dalbergia,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. II,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
5349297,Thailand,,NATIONAL,,Pterocarpus macrocarpus,Magnoliopsida,species,Fabaceae,"Burma padauk, maidu, Burma Padauk","Lignoum oblongum, Lingoum cambodianum, Lingoum glaucinum, Lingoum gracile, Lingoum macrocarpum, Lingoum oblongum, Lingoum parvifolium, Lingoum pedatum, Pterocarpus cambodianus, Pterocarpus cambodianus calcicola, Pterocarpus cambodianus glaucinus, Pterocarpus cambodianus gracilis, Pterocarpus cambodianus oblongus, Pterocarpus cambodianus parvifolius, Pterocarpus glaucinus, Pterocarpus gracilis, Pterocarpus gracilis brevipes, Pterocarpus gracilis nitidus, Pterocarpus macrocarpus oblongus, Pterocarpus oblongus, Pterocarpus parvifolius, Pterocarpus pedatus",Pradu; high-value timber species; covered under 1989 blanket logging ban; substitution target when rosewood unavailable,Pterocarpus,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
2968662,Thailand,,NATIONAL,,Dalbergia latifolia,Magnoliopsida,species,Fabaceae,"Bombay blackwood, East Indian rosewood, Indian Rosewood, Indian blackwood, Indian rosewood, Indonesian Rosewood, Malabar rosewood, black rosewood, blackwood, Bombay Blackwood, Malabar Rosewood","Amerimnon javanicum, Amerimnon latifolium, Dalbergia emarginata, Dalbergia javanica",Plantation-grown specimens in Thailand; all Dalbergia spp. listed CITES App. II since CoP17 (2016); annotation #15,Dalbergia,no,,CITES App. II regulated,Export/import permit required,CITES / WACPPA B.E. 2562
2968532,Thailand,,NATIONAL,,Dalbergia sissoo,Magnoliopsida,species,Fabaceae,"Indian Rosewood, Indian rosewood, sissoo, sisu","Amerimnon sissoo, Dalbergia pendula, Dalbergia sissoo, Endespermum diversifolium, Pterocarpus sissoo",Cultivated in northern Thailand; all Dalbergia spp. CITES App. II; plantation timber with export documentation required,Dalbergia,no,,CITES App. II regulated,Export/import permit required,CITES / WACPPA B.E. 2562
5524063,Thailand,,NATIONAL,,Aquilaria malaccensis,Magnoliopsida,species,Thymelaeaceae,"Indian aloewood, Malayan eaglewoodtree, agarwood, aloeswood, eaglewood, lign-aloes, Agarwood, Aloeswood, Eaglewood, Lign-aloes","Aquilaria agallocha, Aquilaria moluccensis, Aquilaria secundana, Aquilariella malaccensis, Cynometra agallocha",Mai kritsana; heartwood resin (oud) extremely valuable; wild harvest prohibited; plantation cultivation expanding in southern Thailand,Aquilaria,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. II,Collection/trade prohibited from wild,Plants Act B.E. 2518 / CITES
8162077,Thailand,,NATIONAL,,Aquilaria crassna,Magnoliopsida,species,Thymelaeaceae,Second-class agarwood,NA,"Mai ha; principal Thai agarwood species; plantations in Trat, Chanthaburi; wild populations severely depleted",Aquilaria,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. II,Collection/trade prohibited from wild,Plants Act B.E. 2518 / CITES
2783163,Thailand,,NATIONAL,,Vanda coerulea,Magnoliopsida,species,Orchidaceae,"Blue Orchid, blue orchid","Vanda coerulea, Vanda coerulea delicata, Vanda coerulea luwangalba, Vanda coerulea rogersii, Vanda coerulea hennisiana, Vanda coerulea peetersiana, Vanda peetersiana",Royal blue orchid; Chiang Mai highlands; wild collection for horticulture devastated wild populations,Vanda,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. I,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
2825473,Thailand,,NATIONAL,,Paphiopedilum bellatulum,Magnoliopsida,species,Orchidaceae,Enchanting Paphiopedilum,"Cordula bellatula, Cypripedium bellatulum, Paphiopedilum bellatulum, Paphiopedilum bellatulum album, Paphiopedilum bellatulum chlorophyllum",All Paphiopedilum spp. CITES App. I; limestone karst endemic; northern Thailand; highly collected for orchid trade,Paphiopedilum,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. I,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
2825623,Thailand,,NATIONAL,,Paphiopedilum charlesworthii,Magnoliopsida,species,Orchidaceae,Charlesworth Paphiopedilum,"Cordula charlesworthii, Cypripedium charlesworthii, Cypripedium crawshayae, Paphiopedilum charlesworthii crawshayae, Paphiopedilum charlesworthii sandowiae",Myanmar-Thailand border endemic; CITES App. I; limestone habitats; highly prized in orchid trade; wild populations critically low,Paphiopedilum,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. I,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
2825389,Thailand,,NATIONAL,,Paphiopedilum exul,Magnoliopsida,species,Orchidaceae,Excluded Paphiopedilum,"Cordula exul, Cypripedium exul, Cypripedium exul aureum, Cypripedium insigne exul, Paphiopedilum exul, Paphiopedilum exul aureum",Thai endemic Paphiopedilum; Peninsular Thailand; restricted limestone range; CITES App. I; conservation breeding at Queen Sirikit Botanic Garden,Paphiopedilum,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. I,Collection/trade prohibited,Plants Act B.E. 2518 / CITES
5315301,Thailand,,NATIONAL,,Dendrobium lindleyi,Magnoliopsida,species,Orchidaceae,Necklace orchid,"Callista aggregata, Dendrobium aggregatum, Dendrobium aggregatum majus, Dendrobium alboviride majus, Dendrobium lindleyi majus, Epidendrum aggregatum",Ueang kham; all Orchidaceae CITES App. II; widespread epiphyte; mass-collected from forests for Songkran decorations,Dendrobium,no,,Protected (CITES App. II / Plants Act B.E. 2518),Collection/trade regulated,CITES / Plants Act B.E. 2518
2811624,Thailand,,NATIONAL,,Coelogyne pandurata,Magnoliopsida,species,Orchidaceae,Black orchid,"Coelogyne peltastes unguiculata, Pleione pandurata",Spectacular Borneo-Thai orchid; black lip; epiphytic; all CITES App. II orchids regulated under Plants Act,Coelogyne,no,,Protected (CITES App. II),Collection/trade regulated,CITES / Plants Act B.E. 2518
5315208,Thailand,,NATIONAL,,Rhynchostylis gigantea,Magnoliopsida,species,Orchidaceae,Foxtail orchid,"Anota gigantea, Gastrochilus giganteus, Rhynchostylis gigantea harrisoniana, Saccolabium giganteum",Chang kra; Thailand's provincial flower of Chiang Rai; heavily collected; all orchids CITES App. II,Rhynchostylis,no,,Protected (CITES App. II / Plants Act B.E. 2518),Collection/trade regulated,CITES / Plants Act B.E. 2518
