GBIFusageKey,prefName,family,englishName,synonyms,legal_status_ug,restriction_type,governing_law
7473922,Osyris lanceolata,Santalaceae,East African sandalwood,"Osyris arborea, Osyris arborea puberula, Osyris arborea rotundifolia, Osyris arborea stipitata, Osyris nepalensis, Osyris wightiana, Osyris wightiana puberula, Osyris wightiana rotundifolia, Osyris wightiana stipitata",Prohibited Export (NFA Order 2004),Harvesting/export prohibited,NFA Statutory Order 2004
3022853,Prunus africana,Rosaceae,"African Almond, African cherry, Red Stinkwood, pygeum, African Cherry","Laurocerasus africana, Laurocerasus crassifolia, Prunus crassifolia, Pygeum africanum, Pygeum crassifolium",Regulated (CITES Appendix II),Export permit required,CITES Regs / NFA
3852095,Khaya anthotheca,Meliaceae,"East African Mahogany, Nyasaland mahogany, White Mahogany, white-mahogany","Azedarach elegans, Garretia anthoteca, Khaya wildemanii, Melia elegans",Protected Species (NFA 2003),Harvesting restricted,National Forestry and Tree Planting Act 2003
5549722,Olea welwitschii,Oleaceae,Elgon teak,"Linociera welwitschii, Mayepea welwitschii, Olea capensis welwitschii, Olea mussolinii, Osmanthus welwitschii, Steganthus welwitschii",Protected Species (NFA 2003),Harvesting restricted,National Forestry and Tree Planting Act 2003
3039521,Maesopsis eminii,Rhamnaceae,"Umbrella Tree, musizi, umbrella-tree",Karlea berchemoides,Protected Species (NFA 2003),Harvesting restricted,National Forestry and Tree Planting Act 2003
3763589,Milicia excelsa,Moraceae,"African Teak, African-teak, counterwood, iroko, mvule, rock-elm, Iroko","Chlorophora alba, Chlorophora excelsa, Chlorophora tenuifolia, Maclura excelsa, Milicia africana, Morus excelsa",Protected Species (NFA 2003),Harvesting restricted,National Forestry and Tree Planting Act 2003
5285951,Podocarpus latifolius,Podocarpaceae,"Broad-leaved Yellowwood, East African yellowwood, Real Yellowwood, South African podocarpus, podo, true yellowwood, upright yellowwood, yellowwood, True Yellowwood, Upright Yellowwood","Nageia latifolia, Nageia thunbergii, Podocarpus latifolius, Podocarpus latifolius latior, Podocarpus latifolius confertus, Podocarpus latior, Podocarpus nobilis, Podocarpus pinnata, Podocarpus thunbergii, Taxus latifolia",Protected Species (NFA 2003),Harvesting restricted,National Forestry and Tree Planting Act 2003
2777724,Aloe vera,Asphodelaceae,"Barbados Aloe, Barbados Aloes, Barbados aloe, Common Aloes, Curaçao aloe, Indian aloe, Jaffarabad aloe, Mediterranean aloe, West Indian aloe, aloe vera, burn plant, coastal aloe, common aloe, medicinal aloe, star cactus, true aloe, unguentine cactus, Aloe","Aloe barbadensis, Aloe barbadensis chinensis, Aloe chinensis, Aloe elongata, Aloe flava, Aloe humilis, Aloe indica, Aloe lanzae, Aloe maculata, Aloe perfoliata barbadensis, Aloe perfoliata vera, Aloe rubescens, Aloe variegata, Aloe vera chinensis, Aloe vera lanzae, Aloe vera littoralis, Aloe vulgaris",Regulated (commercial collection),Collection permit required,NFA / NDA regulations
2777864,Aloe dawei,Asphodelaceae,Orange Flame Aloe,"Aloe beniensis, Aloe pole-evansiae, Aloe pole-evansii",Regulated (CITES Appendix II),Export permit required,CITES Regs / NFA
5668625,Markhamia lutea,Bignoniaceae,"Siala, siala","Dolichandrone hildebrandtii, Dolichandrone lutea, Dolichandrone platycalyx, Markhamia hildebrandtii, Markhamia hildebrantii, Markhamia platycalyx, Muenteria lutea, Spathodea lutea",Protected Species (NFA 2003),Harvesting regulated,National Forestry and Tree Planting Act 2003
2792122,Polystachya bella,Orchidaceae,Uganda orchid,NA,Regulated (CITES Appendix II),Collection permit required,CITES Regs / Wildlife Act 2019
2683800,Encephalartos whitelockii,Zamiaceae,Muzaiti cycad,Encephalartos successibus,Critically Endangered (CITES App I),Collection/trade prohibited,Uganda Wildlife Act 2019 / CITES
2683712,Encephalartos macrostrobilus,Zamiaceae,Busoga cycad,NA,Critically Endangered (CITES App I),Collection/trade prohibited,Uganda Wildlife Act 2019 / CITES
2882429,Nymphaea lotus,Nymphaeaceae,"Egyptian lotus, Egyptian water-lily, Water Lily, White Egyptian Lotus, White egyptian lotus, tiger lotus, white Egyptian lotus, white lotus, white water-lily, White lotus, White water-lily","Castalia edulis, Castalia lotus, Castalia mystica, Castalia pubescens, Castalia sacra, Castalia thermalis, Leuconymphaea lotus, Nymphaea acutidens, Nymphaea aegyptiaca, Nymphaea boucheana, Nymphaea coteka, Nymphaea dentata, Nymphaea edulis, Nymphaea esculenta, Nymphaea fragrantissima, Nymphaea hypotricha, Nymphaea leucantha, Nymphaea liberiensis, Nymphaea lotus thermalis, Nymphaea lotus dentata, Nymphaea lotus aegyptia, Nymphaea lotus grandiflora, Nymphaea lotus monstrosa, Nymphaea lotus ortgiesiana, Nymphaea ortgiesiana, Nymphaea reichardiana, Nymphaea sagittata, Nymphaea thermalis, Nymphaea zenkeri, Nymphaea omarana, Nymphaea ortgiesiano-rubra",Regulated (NFA wetland rules),Collection regulated,NEA 2019 / NFA 2003
2765940,Pontederia crassipes,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Notified Invasive Species,Eradication mandated,NEA 2019 / MAAIF regulations
2925303,Lantana camara,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia",Invasive Species,Control in protected areas,Uganda Wildlife Act 2019 / NEA 2019
2979775,Acacia mearnsii,Fabaceae,"Black wattle, black wattle, green wattle, late black wattle, tan wattle, wattle","Acacia decurrens mollis, Acacia decurrens mollissima, Acacia mollissima, Racosperma mearnsii",Invasive Species,Restricted planting,NEA 2019 / NFA 2003
5828220,Cenchrus purpureus,Poaceae,"Elephant grass, Morrone, Napier Grass, Uganda grass, Elephant Grass","Gymnotrix nitens, Pennisetum benthamii, Pennisetum benthamii nudum, Pennisetum benthamii sambesiense, Pennisetum benthamii ternatum, Pennisetum blepharideum, Pennisetum flavicomum, Pennisetum flexispica, Pennisetum giganteum, Pennisetum gossweileri, Pennisetum hainanense, Pennisetum lachnorrhachis, Pennisetum macrostachyum, Pennisetum nitens, Pennisetum pallescens, Pennisetum pruinosum, Pennisetum purpureum, Pennisetum purpureum benthamii, Pennisetum purpureum flexispica",Potentially Invasive Grass,Restricted in natural areas,NEA 2019
3086784,Parthenium hysterophorus,Asteraceae,"Santa Maria, Santa Maria feverfew, Santa Maria, Parthenium weed, Santa maria feverfew, Santa-Maria, Santa-Maria, Santa Maria feverfew, Whitetop weed, Famine weed, Carrot grass, Congress grass, Wild Carrot Weed, Parthenium weed, Ragweed parthenium, Bitter-broom, Bitterweed, False camomile, False ragweed, Ragweed, Barley flower, Bastard feverfew, Broomweed, Mugwort, Whiteheads, Wormwood, Whitehead, Whitetop weed, bitterweed, carrot-grass, false ragweed, feverfew, parthenium-weed, ragweed parthenium, whitetop, whitetop weed, Santa Maria Feverfew, Parthenium weed, parthenium","Argyrochaeta bipinnatifida, Argyrochaeta parviflora, Echetrosis pentasperma, Parthenium hysterophorus hysterophorus, Parthenium lobatum, Parthenium pinnatifidum",Notified Noxious Weed,Control mandated <U+2014> MAAIF,MAAIF / PPCA 2016
